TaxaID,Rank,NonTarget,BCG_Attr,BCG_Attr2,FFG,HABIT,LIFE_CYCLE,AirBreather,TOLVAL_IA,FFG_IA,FFGDef_IA,HABIT_IA,HabitDef_IA,THERMAL_INDICATOR,COLD_IA,ColdWaterIndicatorTaxa,HABSTRUCT,PHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,SUBFAMILY,GENUS,SPECIES,CommonName,IA_BugTaxaID
PARACLOEODES,Genus,FALSE,4,4_middle,SC,SW,multi,FALSE,4.8,SC,Scraper,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,PARACLOEODES,,Small Minnow Mayflies,231
PROCLOEON,Genus,FALSE,4,4_middle,CG,SW,multi,FALSE,4.8,CG,Collector/Gatherer,sw/cn,Swimmer/Clinger,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,PROCLOEON,,Small Minnow Mayflies,232
PROCLOEON RUFOSTRIGATUM,Species,FALSE,4,4_middle,CG,SW,multi,FALSE,4.8,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,PROCLOEON,RUFOSTRIGATUM,Small Minnow Mayflies,234
PROCLOEON VIRIDOCULARE,Species,FALSE,4,4_middle,CG,SW,multi,FALSE,4.8,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,PROCLOEON,VIRIDOCULARE,Small Minnow Mayflies,235
LABIOBAETIS,Genus,FALSE,4,4_worse,CG,"SW,CN",multi,FALSE,6,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,LABIOBAETIS,,Small Minnow Mayflies,236
BAETISCIDAE,Family,FALSE,4,4_middle,CG,"SP,CN",uni,FALSE,3.9,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETISCIDAE,,,,Armored Mayflies,237
BAETISCA,Genus,FALSE,4,4_middle,CG,"SP,SW",uni,FALSE,4,CG,Collector/Gatherer,sp,Sprawler,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETISCIDAE,,BAETISCA,,Armored Mayflies,238
BAETISCA LACUSTRIS,Species,FALSE,4,4_middle,CG,"SP,SW",uni,FALSE,5,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETISCIDAE,,BAETISCA,LACUSTRIS,Armored Mayflies,239
PLACOBDELLA MONTIFERA,Species,FALSE,4,4_worse,PR,SP,NA,FALSE,7,PR,Predator,UN,Unidentified,,0,FALSE,,ANNELIDA,CLITELLATA,HIRUDINEA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,,PLACOBDELLA,MONTIFERA,Leeches,24
BAETISCA LAURENTINA,Species,FALSE,4,4_middle,CG,"SP,SW",uni,FALSE,3,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETISCIDAE,,BAETISCA,LAURENTINA,Armored Mayflies,240
CAENIDAE,Family,FALSE,4,4_middle,CG,SP,multi,FALSE,6.8,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,CAENIDAE,,,,Small Squaregill Mayflies,241
BRACHYCERCUS,Genus,FALSE,4,4_middle,CG,SP,multi,FALSE,3,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,NF,ARTHROPODA,INSECTA,,EPHEMEROPTERA,CAENIDAE,,BRACHYCERCUS,,Small Squaregill Mayflies,242
BRACHYCERCUS FLAVUS,Species,FALSE,4,4_middle,CG,SP,NA,FALSE,3,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,CAENIDAE,,BRACHYCERCUS,FLAVUS,Small Squaregill Mayflies,243
CAENIS,Genus,FALSE,4,4_middle,CG,SP,multi,FALSE,7,CG,Collector/Gatherer,sp/cb,Sprawler/Climber,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,CAENIDAE,,CAENIS,,Small Squaregill Mayflies,244
CAENIS LATIPENNIS,Species,FALSE,4,4_middle,CG,SP,multi,FALSE,7,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,CAENIDAE,,CAENIS,LATIPENNIS,Small Squaregill Mayflies,247
CAENIS PUNCTATA,Species,FALSE,4,4_middle,CG,SP,multi,FALSE,7,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,CAENIDAE,,CAENIS,PUNCTATA,Small Squaregill Mayflies,248
CERCOBRACHYS,Genus,FALSE,4,4_middle,CG,SP,NA,FALSE,5,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,CAENIDAE,,CERCOBRACHYS,,Small Squaregill Mayflies,249
PLACOBDELLA MULTILINEATA,Species,FALSE,4,4_worse,PR,SP,NA,FALSE,7,PR,Predator,UN,Unidentified,,0,FALSE,,ANNELIDA,CLITELLATA,HIRUDINEA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,,PLACOBDELLA,MULTILINEATA,Leeches,25
EPHEMERIDAE,Family,FALSE,4,4_middle,CG,BU,uni,FALSE,6,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,EPHEMERIDAE,,,,Common Burrower Mayflies,250
HEXAGENIA,Genus,FALSE,4,4_middle,CG,BU,semi,FALSE,6,CG,Collector/Gatherer,bu,Burrower,,0,FALSE,NF,ARTHROPODA,INSECTA,,EPHEMEROPTERA,EPHEMERIDAE,,HEXAGENIA,,Common Burrower Mayflies,251
HEXAGENIA LIMBATA,Species,FALSE,4,4_middle,CG,BU,semi,FALSE,6,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,NF,ARTHROPODA,INSECTA,,EPHEMEROPTERA,EPHEMERIDAE,,HEXAGENIA,LIMBATA,Common Burrower Mayflies,252
PENTAGENIA VITTIGERA,Species,FALSE,4,4_middle,CG,BU,uni,FALSE,6,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,EPHEMERIDAE,,PENTAGENIA,VITTIGERA,Common Burrower Mayflies,253
EPHEMERELLIDAE,Family,FALSE,3,,CG,CN,uni,FALSE,1.6,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,EPHEMERELLIDAE,,,,Spiny Crawler Mayflies,254
EPHEMERELLA,Genus,FALSE,3,,CG,CN,uni,FALSE,1.1,CG,Collector/Gatherer,cn/sw,Clinger/Swimmer,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,EPHEMERELLIDAE,,EPHEMERELLA,,Spiny Crawler Mayflies,255
EPHEMERELLA EXCRUCIANS,Species,FALSE,3,,CG,CN,uni,FALSE,1,CG,Collector/Gatherer,UN,Unidentified,,-1,TRUE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,EPHEMERELLIDAE,,EPHEMERELLA,EXCRUCIANS,Spiny Crawler Mayflies,256
EPHEMERELLA NEEDHAMI,Species,FALSE,3,,CG,CN,uni,FALSE,2,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,EPHEMERELLIDAE,,EPHEMERELLA,NEEDHAMI,Spiny Crawler Mayflies,257
SERRATELLA,Genus,FALSE,2,,CG,CN,uni,FALSE,2,CG,Collector/Gatherer,cn,Clinger,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,EPHEMERELLIDAE,,SERRATELLA,,Spiny Crawler Mayflies,258
HEPTAGENIIDAE,Family,FALSE,4,4_middle,SC,CN,uni,FALSE,4.3,SC,Scraper,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,,,Flatheaded Mayflies,259
PLACOBDELLA MULTILINEATA/PAPILLIFERA,Species,FALSE,4,4_worse,PR,SP,NA,FALSE,7,PR,Predator,UN,Unidentified,,0,FALSE,,ANNELIDA,CLITELLATA,HIRUDINEA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,,PLACOBDELLA,MULTILINEATA/PAPILLIFERA,Leeches,26
HEPTAGENIA,Genus,FALSE,4,4_middle,SC,CN,uni,FALSE,3.1,SC,Scraper,cn/sw,Clinger/Swimmer,,0,FALSE,SG,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,HEPTAGENIA,,Flatheaded Mayflies,260
HEPTAGENIA ELEGANTULA,Species,FALSE,4,4_worse,SC,CN,uni,FALSE,3,SC,Scraper,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,HEPTAGENIA,ELEGANTULA,Flatheaded Mayflies,261
HEPTAGENIA FLAVESCENS,Species,FALSE,4,4_middle,SC,CN,uni,FALSE,4,SC,Scraper,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,HEPTAGENIA,FLAVESCENS,Flatheaded Mayflies,262
HEPTAGENIA PULLA,Species,FALSE,4,4_middle,SC,CN,uni,FALSE,4,SC,Scraper,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,HEPTAGENIA,PULLA,Flatheaded Mayflies,264
LEUCROCUTA,Genus,FALSE,3,,SC,CN,uni,FALSE,1,SC,Scraper,cn,Clinger,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,LEUCROCUTA,,Flatheaded Mayflies,265
LEUCROCUTA HEBE,Species,FALSE,3,,SC,CN,uni,FALSE,1,SC,Scraper,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,LEUCROCUTA,HEBE,Flatheaded Mayflies,266
NIXE,Genus,FALSE,4,4_better,"SC,PR",CN,uni,FALSE,2,SC,Scraper,cn,Clinger,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,NIXE,,Flatheaded Mayflies,267
NIXE PERFIDA,Species,FALSE,4,4_better,"SC,PR",CN,uni,FALSE,2,SC,Scraper,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,NIXE,PERFIDA,Flatheaded Mayflies,268
RHITHROGENA,Genus,FALSE,,,CG,CN,uni,FALSE,0,CG,Collector/Gatherer,cn,Clinger,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,RHITHROGENA,,Flatheaded Mayflies,269
PLACOBDELLA ORNATA,Species,FALSE,4,4_worse,PR,SP,NA,FALSE,7,PR,Predator,UN,Unidentified,,0,FALSE,,ANNELIDA,CLITELLATA,HIRUDINEA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,,PLACOBDELLA,ORNATA,Leeches,27
RHITHROGENA JEJUNA,Species,FALSE,,,CG,CN,uni,FALSE,0,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,RHITHROGENA,JEJUNA,Flatheaded Mayflies,270
STENACRON,Genus,FALSE,4,4_middle,CG,CN,multi,FALSE,7,CG,Collector/Gatherer,cn,Clinger,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,STENACRON,,Flatheaded Mayflies,271
STENACRON INTERPUNCTATUM,Species,FALSE,4,4_worse,CG,CN,multi,FALSE,7,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,STENACRON,INTERPUNCTATUM,Flatheaded Mayflies,272
MACCAFFERTIUM EXIGUUM,Species,FALSE,4,4_middle,SC,CN,uni,FALSE,5,SC,Scraper,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,MACCAFFERTIUM,EXIGUUM,Flatheaded Mayflies,274
STENONEMA FEMORATUM,Species,FALSE,4,4_better,SC,CN,uni,FALSE,5,SC,Scraper,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,STENONEMA,FEMORATUM,Flatheaded Mayflies,275
MACCAFFERTIUM MEDIOPUNCTATUM,Species,FALSE,4,4_middle,SC,CN,uni,FALSE,3,SC,Scraper,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,MACCAFFERTIUM,MEDIOPUNCTATUM,Flatheaded Mayflies,276
MACCAFFERTIUM MEXICANUM,Species,FALSE,4,4_middle,SC,CN,uni,FALSE,4,SC,Scraper,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,MACCAFFERTIUM,MEXICANUM,Flatheaded Mayflies,277
MACCAFFERTIUM PULCHELLUM,Species,FALSE,3,,SC,CN,uni,FALSE,3,SC,Scraper,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,MACCAFFERTIUM,PULCHELLUM,Flatheaded Mayflies,278
MACCAFFERTIUM PULCHELLUM/TERMINATUM,Species,FALSE,4,4_middle,SC,CN,uni,FALSE,3.5,SC,Scraper,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,MACCAFFERTIUM,PULCHELLUM/TERMINATUM,Flatheaded Mayflies,279
PLACOBDELLA PAPILLIFERA,Species,FALSE,4,4_worse,PR,SP,NA,FALSE,7,PR,Predator,UN,Unidentified,,0,FALSE,,ANNELIDA,CLITELLATA,HIRUDINEA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,,PLACOBDELLA,PAPILLIFERA,Leeches,28
MACCAFFERTIUM TERMINATUM,Species,FALSE,4,4_worse,SC,CN,uni,FALSE,4,SC,Scraper,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,MACCAFFERTIUM,TERMINATUM,Flatheaded Mayflies,280
MACCAFFERTIUM VICARIUM,Species,FALSE,4,4_middle,SC,CN,uni,FALSE,2,SC,Scraper,UN,Unidentified,cold,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,MACCAFFERTIUM,VICARIUM,Flatheaded Mayflies,281
ISONYCHIIDAE,Family,FALSE,4,4_middle,CF,SW,NA,FALSE,2,CF,Filterer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,ISONYCHIIDAE,,,,Brushlegged Mayflies,282
ISONYCHIA,Genus,FALSE,4,4_middle,CF,"SW,CN",uni,FALSE,2,CF,Filterer,sw/cn,Swimmer/Clinger,,0,FALSE,CS,ARTHROPODA,INSECTA,,EPHEMEROPTERA,ISONYCHIIDAE,,ISONYCHIA,,Brushlegged Mayflies,283
TRICORYTHODES,Genus,FALSE,4,4_worse,CG,SP,uni,FALSE,4,CG,Collector/Gatherer,sp/cn,Sprawler/Clinger,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,LEPTOHYPHIDAE,,TRICORYTHODES,,Little Stout Crawler Mayflies,285
LEPTOPHLEBIIDAE,Family,FALSE,4,4_better,CG,"SW,CN,SP",uni,FALSE,2.9,CG/SC,Collector/Scraper,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,LEPTOPHLEBIIDAE,,,,Pronggilled Mayflies,286
LEPTOPHLEBIA,Genus,FALSE,4,4_better,CG,SW,uni,FALSE,4,CG,Collector/Gatherer,sw/cn,Swimmer/Clinger,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,LEPTOPHLEBIIDAE,,LEPTOPHLEBIA,,Pronggilled Mayflies,287
PARALEPTOPHLEBIA,Genus,FALSE,3,,CG,SW,uni,FALSE,1,CG,Collector/Gatherer,sw/cn,Swimmer/Clinger,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,LEPTOPHLEBIIDAE,,PARALEPTOPHLEBIA,,Pronggilled Mayflies,288
PLACOBDELLA PARASITICA,Species,FALSE,4,4_worse,PR,SP,NA,FALSE,7,PR,Predator,UN,Unidentified,,0,FALSE,,ANNELIDA,CLITELLATA,HIRUDINEA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,,PLACOBDELLA,PARASITICA,Leeches,29
HOMOEONEURIA AMMOPHILA,Species,FALSE,,,CF,BU,uni,FALSE,2,CF,Filterer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,OLIGONEURIIDAE,,HOMOEONEURIA,AMMOPHILA,,290
POLYMITARCYIDAE,Family,FALSE,4,4_middle,CG,BU,uni,FALSE,2.2,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,POLYMITARCYIDAE,,,,Pale Burrower Mayflies,291
EPHORON,Genus,FALSE,4,4_middle,CG,BU,uni,FALSE,2,CG,Collector/Gatherer,bu,Burrower,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,POLYMITARCYIDAE,,EPHORON,,Pale Burrower Mayflies,292
EPHORON ALBUM,Species,FALSE,4,4_middle,CG,BU,uni,FALSE,2,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,POLYMITARCYIDAE,,EPHORON,ALBUM,Pale Burrower Mayflies,293
TORTOPUS PRIMUS,Species,FALSE,,,CG,BU,NA,FALSE,5.5,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,POLYMITARCYIDAE,,TORTOPUS,PRIMUS,Pale Burrower Mayflies,294
POTAMANTHIDAE,Family,FALSE,4,4_worse,CF,BU,NA,FALSE,4,CF,Filterer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,POTAMANTHIDAE,,,,Hacklegilled Burrower Mayflies,295
ANTHOPOTAMUS,Genus,FALSE,4,4_worse,CF,BU,uni,FALSE,4,CF,Filterer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,POTAMANTHIDAE,,ANTHOPOTAMUS,,Hacklegilled Burrower Mayflies,296
ANTHOPOTAMUS MYOPS,Species,FALSE,4,4_worse,CF,BU,uni,FALSE,4,CF,Filterer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,POTAMANTHIDAE,,ANTHOPOTAMUS,MYOPS,Hacklegilled Burrower Mayflies,297
ARHYNCHOBDELLIDA,Order,FALSE,,,NA,SP,NA,FALSE,,UN,Unidentified,UN,Unidentified,,0,FALSE,,ANNELIDA,CLITELLATA,HIRUDINEA,ARHYNCHOBDELLIDA,,,,,Leeches,3
OLIGOCHAETA,Subclass,FALSE,4,4_middle,CG,BU,,FALSE,8.5,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ANNELIDA,CLITELLATA,OLIGOCHAETA,,,,,,Aquatic Worms,30
HAPLOTAXIDA,Order,FALSE,4,4_middle,CG,BU,NA,FALSE,9.2,UN,Unidentified,UN,Unidentified,,0,FALSE,,ANNELIDA,CLITELLATA,OLIGOCHAETA,HAPLOTAXIDA,,,,,Aquatic Worms,31
LUMBRICIDAE,Family,FALSE,4,4_middle,CG,BU,NA,FALSE,10,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ANNELIDA,CLITELLATA,OLIGOCHAETA,HAPLOTAXIDA,LUMBRICIDAE,,,,Aquatic Worms,32
NAIDIDAE,Family,FALSE,4,4_middle,CG,BU,multi,FALSE,7.6,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ANNELIDA,CLITELLATA,OLIGOCHAETA,HAPLOTAXIDA,NAIDIDAE,,,,Aquatic Worms,33
TUBIFICIDAE,Family,FALSE,4,4_middle,CG,"BU,CN",NA,FALSE,10,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ANNELIDA,CLITELLATA,OLIGOCHAETA,HAPLOTAXIDA,TUBIFICIDAE,,,,Aquatic Worms,34
LEPIDOPTERA,Order,FALSE,,,SH,SP,NA,FALSE,,UN,Unidentified,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,LEPIDOPTERA,,,,,"Moths, Butterflies",340
PYRALIDAE,Family,FALSE,3,,SH,SP,multi,FALSE,5,SH,Shredder,cb,Climber,,0,FALSE,NF,ARTHROPODA,INSECTA,,LEPIDOPTERA,PYRALIDAE,,,,"Grass Moths, Snout Moths",341
PETROPHILA,Genus,FALSE,3,,SC,CB,multi,FALSE,5,SC,Scraper,CN,Clinger,,0,FALSE,,ARTHROPODA,INSECTA,,LEPIDOPTERA,CRAMBIDAE,,PETROPHILA,,Crambid Moths,342
CORYDALIDAE,Family,FALSE,4,4_middle,PR,CN,"semi,uni",FALSE,5.8,PR,Predator,cn/cb,Clinger/Climber,,0,FALSE,,ARTHROPODA,INSECTA,,MEGALOPTERA,CORYDALIDAE,,,,"Dobsonflies, Fishflies, Hellgrammites",344
CORYDALUS,Genus,FALSE,4,4_middle,PR,CN,"semi,uni",FALSE,6,PR,Predator,UN,Unidentified,,0,FALSE,CS,ARTHROPODA,INSECTA,,MEGALOPTERA,CORYDALIDAE,,CORYDALUS,,"Dobsonflies, Fishflies, Hellgrammites",345
CORYDALUS CORNUTUS,Species,FALSE,4,4_middle,PR,CN,"semi,uni",FALSE,6,PR,Predator,cn/cb,Clinger/Climber,,0,FALSE,,ARTHROPODA,INSECTA,,MEGALOPTERA,CORYDALIDAE,,CORYDALUS,CORNUTUS,"Dobsonflies, Fishflies, Hellgrammites",346
CHAULIODES,Genus,FALSE,4,4_middle,PR,CN,semi,FALSE,4,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,MEGALOPTERA,CORYDALIDAE,,CHAULIODES,,"Dobsonflies, Fishflies, Hellgrammites",347
CHAULIODES PECTINICORNIS,Species,FALSE,4,4_middle,PR,CN,semi,FALSE,4,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,MEGALOPTERA,CORYDALIDAE,,CHAULIODES,PECTINICORNIS,"Dobsonflies, Fishflies, Hellgrammites",348
CHAULIODES RASTRICORNIS,Species,FALSE,4,4_middle,PR,CN,semi,FALSE,4,PR,Predator,cn/cb,Clinger/Climber,,0,FALSE,RM,ARTHROPODA,INSECTA,,MEGALOPTERA,CORYDALIDAE,,CHAULIODES,RASTRICORNIS,"Dobsonflies, Fishflies, Hellgrammites",349
SIALIS,Genus,FALSE,4,4_middle,PR,BU,uni,FALSE,4,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,MEGALOPTERA,SIALIDAE,,SIALIS,,Alderflies,351
NEUROPTERA,Genus,FALSE,,,PR,NA,NA,FALSE,,UN,Unidentified,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,NEUROPTERA,,,,,"Spongillaflies, Lacewings, Mantisflies",352
SISYRIDAE,Family,FALSE,3,,PR,CB,multi,FALSE,6.5,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,NEUROPTERA,SISYRIDAE,,,,Spongillaflies,353
CLIMACIA,Genus,FALSE,3,,PR,CB,multi,FALSE,5,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,NEUROPTERA,SISYRIDAE,,CLIMACIA,,Spongillaflies,354
ODONATA,Order,FALSE,,,PR,CB,NA,FALSE,,UN,Unidentified,cb,Climber,,0,FALSE,,ARTHROPODA,INSECTA,,ODONATA,,,,,Dragonflies and damselflies,355
AESHNIDAE,Family,FALSE,4,4_middle,PR,"CB,CN",uni,FALSE,2.9,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,,,Darner Dragonflies,356
AESHNA,Genus,FALSE,4,4_middle,PR,CB,semi,FALSE,5,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,AESHNA,,Darner Dragonflies,357
ANAX,Genus,FALSE,4,4_worse,PR,"CB,CN","multi,uni",FALSE,8,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,ANAX,,Darner Dragonflies,358
ANAX JUNIUS,Species,FALSE,4,4_worse,PR,"CB,CN","multi,uni",FALSE,8,PR,Predator,cb/sp,Climber/Sprawler,,0,FALSE,,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,ANAX,JUNIUS,Darner Dragonflies,359
MALACOSTRACA,Class,FALSE,,,CG,NA,NA,FALSE,,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,MALACOSTRACA,,,,,,,Crustaceans,36
BOYERIA,Genus,FALSE,4,4_middle,PR,"CB,CN",multi,FALSE,2,PR,Predator,cb,Climber,,0,FALSE,RM,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,BOYERIA,,Darner Dragonflies,360
BOYERIA VINOSA,Species,FALSE,4,4_middle,PR,"CB,CN",multi,FALSE,2,PR,Predator,cb/sp,Climber/Sprawler,,0,FALSE,,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,BOYERIA,VINOSA,Darner Dragonflies,361
CALOPTERYGIDAE,Family,FALSE,4,4_middle,PR,CB,NA,FALSE,5.4,PR,Predator,cb,Climber,,0,FALSE,,ARTHROPODA,INSECTA,,ODONATA,CALOPTERYGIDAE,,,,Broadwinged Damselflies,362
CALOPTERYX,Genus,FALSE,4,4_worse,PR,CB,uni,FALSE,5,PR,Predator,cb,Climber,,0,FALSE,RM,ARTHROPODA,INSECTA,,ODONATA,CALOPTERYGIDAE,,CALOPTERYX,,Broadwinged Damselflies,363
HETAERINA,Genus,FALSE,4,4_middle,PR,"CB,CN",semi,FALSE,6,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,ODONATA,CALOPTERYGIDAE,,HETAERINA,,Broadwinged Damselflies,364
COENAGRIONIDAE,Family,FALSE,4,4_worse,PR,CB,uni,FALSE,6.8,PR,Predator,cb,Climber,,0,FALSE,,ARTHROPODA,INSECTA,,ODONATA,COENAGRIONIDAE,,,,Narrowwinged Damselflies,365
AMPHIAGRION,Genus,FALSE,,,PR,"CN,CB",NA,FALSE,9,PR,Predator,cn/cb,Clinger/Climber,,0,FALSE,,ARTHROPODA,INSECTA,,ODONATA,COENAGRIONIDAE,,AMPHIAGRION,,Narrowwinged Damselflies,366
ARGIA,Genus,FALSE,4,4_worse,PR,"CB,CN",uni,FALSE,6,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,ODONATA,COENAGRIONIDAE,,ARGIA,,Narrowwinged Damselflies,367
