Taxon_Group,Taxon_orig,NonTarget,Changed,Rationale,OTU_MTTI,OTU_MetricCalc,OTU_BCG_MariNW,OTU_BSTI,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Other Non-Insect,Aaptos,TRUE,NonTarget,Sponges excluded,DNI,DNI,DNI,DNI,,Animalia,Porifera,,Demospongiae,Heteroscleromorpha,Suberitida,,,Suberitidae,,,,Aaptos,,,,,
Chironomidae,Ablabesmyia,FALSE,no,,Ablabesmyia,Ablabesmyia,Ablabesmyia,Ablabesmyia,128079,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,,Ablabesmyia,,,,,
Other Non-Insect,Acalyptonotus,FALSE,no,,DNI,Acalyptonotus,Trombidiformes,DNI,83508,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Acalyptonotidae,,,,Acalyptonotus,,,,,
Chironomidae,Acamptocladius,FALSE,no,,DNI,Acamptocladius,Acamptocladius,DNI,128460,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Acamptocladius,,,,,
Other Non-Insect,Acar,FALSE,yes,,DNI,Acari,Acari,DNI,733321,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,,,,,,,,,,,,
Other Non-Insect,Acari,FALSE,no,,DNI,Acari,Acari,DNI,733321,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,,,,,,,,,,,,
Other Non-Insect,Acarina,FALSE,yes,,DNI,Acari,Acari,DNI,733321,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,,,,,,,,,,,,
Ephemeroptera,Acentrella,FALSE,no,,DNI,Acentrella,Acentrella,DNI,100801,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acentrella,,,,,
Ephemeroptera,Acentrella insignificans,FALSE,no,,Acentrella insignificans,Acentrella insignificans,Acentrella insignificans,DNI,568572,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acentrella,,,,,insignificans
Ephemeroptera,Acentrella insignificans complex,FALSE,yes,,Acentrella insignificans,Acentrella insignificans,Acentrella insignificans,DNI,568572,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acentrella,,,,,insignificans
Ephemeroptera,Acentrella turbida,FALSE,no,,Acentrella turbida,Acentrella turbida,Acentrella turbida,Acentrella turbida,568574,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acentrella,,,,,turbida
Ephemeroptera,Acerpenna,FALSE,no,,DNI,Acerpenna,Acerpenna,DNI,568546,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acerpenna,,,,,
Ephemeroptera,Acerpenna pygmaea,FALSE,no,,DNI,Acerpenna pygmaea,Acerpenna pygmaea,DNI,206620,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acerpenna,,,,,pygmaea
Oligochaeta,Achaeta,FALSE,no,,DNI,Achaeta,Oligochaeta,DNI,68560,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Achaeta,,,,,
Coleoptera,Acilius,FALSE,no,,DNI,Acilius,Acilius,DNI,112074,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Dytiscinae,Aciliini,,Acilius,,,,,
Coleoptera,Acilius abbreviatus,FALSE,yes,,DNI,Acilius,Acilius,DNI,112074,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Dytiscinae,Aciliini,,Acilius,,,,,
Coleoptera,Acneus,FALSE,no,,Acneus,Acneus,Acneus,Acneus,114082,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Psephenidae,Eubriinae,,,Acneus,,,,,
Chironomidae,Acricotopus,FALSE,no,,DNI,Acricotopus,Acricotopus,DNI,128463,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Acricotopus,,,,,
Fish,Actinopterygii,TRUE,NonTarget,Fish,DNI,DNI,DNI,DNI,,Animalia,Chordata,Vertebrata,Actinopteri,,,,,,,,,,,,,,
Diptera,Aedes,FALSE,yes,,DNI,Culicidae,Culicidae,DNI,125930,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Culicidae,,,,,,,,,
Odonata,Aeshna,FALSE,yes,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Aeshnidae,,,,Aeshna/Rhionaeschna,,,,,
Odonata,Aeshna californica,FALSE,yes,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Aeshnidae,,,,Aeshna/Rhionaeschna,,,,,
Odonata,Aeshna eremita,FALSE,yes,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Aeshnidae,,,,Aeshna/Rhionaeschna,,,,,
Odonata,Aeshna interrupta,FALSE,yes,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Aeshnidae,,,,Aeshna/Rhionaeschna,,,,,
Odonata,Aeshna juncea,FALSE,yes,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Aeshnidae,,,,Aeshna/Rhionaeschna,,,,,
Odonata,Aeshna palmata,FALSE,yes,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Aeshnidae,,,,Aeshna/Rhionaeschna,,,,,
Odonata,Aeshna umbrosa,FALSE,yes,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Aeshnidae,,,,Aeshna/Rhionaeschna,,,,,
Odonata,Aeshna walkeri,FALSE,yes,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Aeshnidae,,,,Aeshna/Rhionaeschna,,,,,
Odonata,Aeshna/Rhionaeschna,FALSE,no,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Aeshnidae,,,,Aeshna/Rhionaeschna,,,,,
Odonata,Aeshnidae,FALSE,no,,Aeshnidae,Aeshnidae,Aeshnidae,DNI,101596,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Aeshnidae,,,,,,,,,
Ephemeroptera,Afghanurus,FALSE,no,,Afghanurus,Afghanurus,Afghanurus,Afghanurus,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Afghanurus,,,,,
Ephemeroptera,Afghanurus criddlei,FALSE,no,,Afghanurus,Afghanurus criddlei,Afghanurus criddlei,Afghanurus,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Afghanurus,,,,,criddlei
Coleoptera,Agabinae,FALSE,no,,Agabinae,Agabinae,Agabinae,DNI,728212,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Agabinae,,,,,,,,
Coleoptera,Agabinus,FALSE,no,,Agabinae,Agabinus,Agabinus,DNI,112068,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Agabinae,Agabini,,Agabinus,,,,,
Coleoptera,Agabinus glabrellus,FALSE,yes,,Agabinae,Agabinus,Agabinus,DNI,112068,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Agabinae,Agabini,,Agabinus,,,,,
Coleoptera,Agabinus sculpturellus,FALSE,yes,,Agabinae,Agabinus,Agabinus,DNI,112068,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Agabinae,Agabini,,Agabinus,,,,,
Coleoptera,Agabus,FALSE,no,,Agabinae,Agabus,Agabus,DNI,111966,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Agabinae,Agabini,,Agabus,,,,,
Coleoptera,Agabus lutosus,FALSE,yes,,Agabinae,Agabus,Agabus,DNI,111966,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Agabinae,Agabini,,Agabus,,,,,
Coleoptera,Agabus seriatus group,FALSE,yes,,Agabinae,Agabus,Agabus,DNI,111966,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Agabinae,Agabini,,Agabus,,,,,
Coleoptera,Agabus/Ilybius/Platambus/Ilybiosoma,FALSE,yes,,Agabinae,Agabinae,Agabinae,DNI,728212,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Agabinae,,,,,,,,
Trichoptera,Agapetus,FALSE,no,,Agapetus,Agapetus,Agapetus,Agapetus,117121,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Glossosomatidae,Agapetinae,,,Agapetus,,,,,
Diptera,Agathon,FALSE,no,,Blephariceridae,Agathon,Agathon,Blephariceridae,121230,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Blephariceridae,Blepharicerinae,Blepharicerini,,Agathon,,,,,
Diptera,Agathon comstocki,FALSE,no,,Blephariceridae,Agathon comstocki,Agathon comstocki,Blephariceridae,121237,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Blephariceridae,Blepharicerinae,Blepharicerini,,Agathon,,,,,comstocki
Trichoptera,Agraylea,FALSE,no,,Agraylea,Agraylea,Agraylea,DNI,115635,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydroptilidae,Hydroptilinae,Hydroptilini,,Agraylea,,,,,
Other Non-Insect,Albertathyas,FALSE,no,,DNI,Albertathyas,Trombidiformes,DNI,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydryphantidae,,,,Albertathyas,,,,,
Other Non-Insect,Albertathyas montana,FALSE,no,,DNI,Albertathyas montana,Trombidiformes,DNI,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydryphantidae,,,,Albertathyas,,,,,montana
Chironomidae,Allocladius,FALSE,no,,DNI,Allocladius,Allocladius,DNI,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Allocladius,,,,,
Trichoptera,Allocosmoecus,FALSE,yes,single species in genus,Allocosmoecus partitus,Allocosmoecus partitus,Allocosmoecus partitus,DNI,115969,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Dicosmoecinae,,,Allocosmoecus,,,,,
Trichoptera,Allocosmoecus partitus,FALSE,no,single species in genus,Allocosmoecus partitus,Allocosmoecus partitus,Allocosmoecus partitus,DNI,115969,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Dicosmoecinae,,,Allocosmoecus,,,,,
Diptera,Allognosta,FALSE,no,,Stratiomyidae,Allognosta,Allognosta,DNI,130160,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Stratiomyidae,Beridinae,,,Allognosta,,,,,
Trichoptera,Allomyia,FALSE,no,,DNI,Allomyia,Allomyia,DNI,116438,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Apataniidae,,,,Allomyia,,,,,
Plecoptera,Alloperla,FALSE,no,,DNI,Alloperla,Alloperla,DNI,103203,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Chloroperlidae,Chloroperlinae,,,Alloperla,,,,,
Chironomidae,Alotanypus,FALSE,no,,Alotanypus,Alotanypus,Alotanypus,DNI,206646,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Coelotanypodini,,Alotanypus,,,,,
Chironomidae,Alotanypus/Apsectrotanypus,FALSE,yes,,DNI,Tanypodinae,Tanypodinae,DNI,127994,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,,,,,,,,
Oligochaeta,Altmanella,FALSE,no,,Lumbriculidae,Altmanella,Oligochaeta,Lumbriculidae,974298,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Altmanella,,,,,
Heteroptera,Ambrysus,TRUE,NonTarget,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,103614,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Naucoridae,Ambrysinae,,,Ambrysus,,,,,
Ephemeroptera,Ameletus,FALSE,no,,Ameletus,Ameletus,Ameletus,Ameletus,100996,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Ameletidae,,,,Ameletus,,,,,
Other Non-Insect,Americorophium,FALSE,no,,DNI,Americorophium,Americorophium,DNI,656484,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Corophiidae,,,,Americorophium,,,,,
Other Non-Insect,Americorophium spinicorne,FALSE,yes,,DNI,Americorophium,Americorophium,DNI,656484,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Corophiidae,,,,Americorophium,,,,,
Coleoptera,Ametor,FALSE,no,,Hydrophilidae,Ametor,Ametor,Hydrophilidae,112890,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Hydrophilidae,Hydrophilinae,Sperchopsini,,Ametor,,,,,
Coleoptera,Ametor latus,FALSE,yes,,Hydrophilidae,Ametor,Ametor,Hydrophilidae,112890,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Hydrophilidae,Hydrophilinae,Sperchopsini,,Ametor,,,,,
Coleoptera,Ametor scabrosus,FALSE,yes,,Hydrophilidae,Ametor,Ametor,Hydrophilidae,112890,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Hydrophilidae,Hydrophilinae,Sperchopsini,,Ametor,,,,,
Ephemeroptera,Ametropus,FALSE,no,,DNI,Ametropus,Ametropus,DNI,101074,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Ametropodidae,,,,Ametropus,,,,,
Trichoptera,Amiocentrus,FALSE,no,backed off due to COI data,Amiocentrus,Amiocentrus,Amiocentrus,Amiocentrus,116933,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Brachycentridae,,,,Amiocentrus,,,,,
Trichoptera,Amiocentrus aspilus,FALSE,yes,backed off due to COI data,Amiocentrus,Amiocentrus,Amiocentrus,Amiocentrus,116933,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Brachycentridae,,,,Amiocentrus,,,,,
Odonata,Amphiagrion,FALSE,yes,,Coenagrionidae,Coenagrionidae,Coenagrionidae,DNI,102077,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Zygoptera,,Coenagrionidae,,,,,,,,,
Odonata,Amphiagrion abbreviatum,FALSE,yes,,Coenagrionidae,Coenagrionidae,Coenagrionidae,DNI,102077,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Zygoptera,,Coenagrionidae,,,,,,,,,
Fish,Amphibia,TRUE,NonTarget,Fish,DNI,DNI,DNI,DNI,,Animalia,Chordata,Vertebrata,Amphibia,,,,,,,,,,,,,,
Trichoptera,Amphicosmoecus,FALSE,no,single species in genus,DNI,Amphicosmoecus,Amphicosmoecus,DNI,116253,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Dicosmoecinae,,,Amphicosmoecus,,,,,
Trichoptera,Amphicosmoecus canax,FALSE,yes,single species in genus,DNI,Amphicosmoecus,Amphicosmoecus,DNI,116253,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Dicosmoecinae,,,Amphicosmoecus,,,,,
Plecoptera,Amphinemura,FALSE,yes,,Malenka,Malenka,Malenka,Malenka,102567,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Nemouridae,Amphinemurinae,,,Malenka,,,,,
Plecoptera,Amphinemura/Malenka,FALSE,yes,,Malenka,Malenka,Malenka,Malenka,102567,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Nemouridae,Amphinemurinae,,,Malenka,,,,,
Other Non-Insect,Amphipoda,FALSE,no,,DNI,Amphipoda,Amphipoda,DNI,93294,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,,,,,,,,,,,,
Coleoptera,Amphizoa,FALSE,no,,DNI,Amphizoa,Amphizoa,DNI,111953,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Amphizoidae,,,,Amphizoa,,,,,
Coleoptera,Amphizoa insolens,FALSE,yes,,DNI,Amphizoa,Amphizoa,DNI,111953,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Amphizoidae,,,,Amphizoa,,,,,
Coleoptera,Amphizoa lecontei,FALSE,yes,,DNI,Amphizoa,Amphizoa,DNI,111953,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Amphizoidae,,,,Amphizoa,,,,,
Coleoptera,Ampumixis,FALSE,no,only one species in Genus,Ampumixis dispar,Ampumixis,Ampumixis,Ampumixis dispar,114196,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Ampumixis,,,,,
Coleoptera,Ampumixis dispar,FALSE,yes,only one species in Genus,Ampumixis dispar,Ampumixis,Ampumixis,Ampumixis dispar,114196,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Ampumixis,,,,,
Coleoptera,Anacaena,FALSE,no,,Hydrophilidae,Anacaena,Anacaena,Hydrophilidae,112878,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Hydrophilidae,Hydrophilinae,Anacaenini,,Anacaena,,,,,
Ephemeroptera,Anafroptilum,FALSE,yes,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Anafroptilum/Procloeon,,,,,
Ephemeroptera,Anafroptilum/Neocloeon,FALSE,yes,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Anafroptilum/Procloeon,,,,,
Ephemeroptera,Anafroptilum/Neocloeon/Procloeon,FALSE,yes,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Anafroptilum/Procloeon,,,,,
Ephemeroptera,Anafroptilum/Procloeon,FALSE,no,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Anafroptilum/Procloeon,,,,,
Trichoptera,Anagapetus,FALSE,no,,Anagapetus,Anagapetus,Anagapetus,Anagapetus,117154,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Glossosomatidae,Glossosomatinae,Anagapetini,,Anagapetus,,,,,
Odonata,Anax,FALSE,no,,Aeshnidae,Anax,Anax,DNI,101597,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Aeshnidae,,,,Anax,,,,,
Odonata,Anax junius,FALSE,yes,,Aeshnidae,Anax,Anax,DNI,101597,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Aeshnidae,,,,Anax,,,,,
Coleoptera,Anchycteis,FALSE,yes,,DNI,Ptilodactylidae,Ptilodactylidae,DNI,114265,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Ptilodactylidae,,,,,,,,,
Coleoptera,Anchycteis velutina,FALSE,yes,,DNI,Ptilodactylidae,Ptilodactylidae,DNI,114265,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Ptilodactylidae,,,,,,,,,
Other Non-Insect,Ancylidae,FALSE,no,,DNI,Ancylidae,Ancylidae,DNI,76568,Animalia,Mollusca,,Gastropoda,,Basommatophora,,,Ancylidae,,,,,,,,,
Other Non-Insect,Anericorophium,FALSE,yes,,DNI,Americorophium,Americorophium,DNI,656484,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Corophiidae,,,,Americorophium,,,,,
Other Non-Insect,Anisogammaridae,FALSE,no,,Anisogammaridae,Anisogammaridae,Anisogammaridae,DNI,203113,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Anisogammaridae,,,,,,,,,
Odonata,Anisoptera,FALSE,no,,DNI,Anisoptera,Anisoptera,DNI,101594,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,,,,,,,,,,
Other Non-Insect,Anodonta,FALSE,no,,Unionoidea,Anodonta,Anodonta,DNI,79930,Animalia,Mollusca,,Bivalvia,Palaeoheterodonta,Unionoida,,,Unionidae,,,,Anodonta,,,,,
Other Non-Insect,Anodonta oregonsis,FALSE,yes,,Unionoidea,Anodonta,Anodonta,DNI,79930,Animalia,Mollusca,,Bivalvia,Palaeoheterodonta,Unionoida,,,Unionidae,,,,Anodonta,,,,,
Diptera,Anopheles,FALSE,no,,DNI,Anopheles,Anopheles,DNI,125956,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Culicidae,Anophelinae,,,Anopheles,,,,,
Chironomidae,Antillocladius,FALSE,yes,,DNI,Orthocladiinae,Orthocladiinae,DNI,128457,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,,,,,,
Diptera,Antocha,FALSE,no,,Antocha,Antocha,Antocha,Antocha,119656,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Limoniinae,,,Antocha,,,,,
Diptera,Antocha monticola,FALSE,yes,,Antocha,Antocha,Antocha,Antocha,119656,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Limoniinae,,,Antocha,,,,,
Fish,Anura,TRUE,NonTarget,Fish,DNI,DNI,DNI,DNI,173423,Animalia,Chordata,Vertebrata,Amphibia,,Anura,,,,,,,,,,,,
Trichoptera,Apatania,FALSE,no,,Apatania,Apatania,Apatania,Apatania,115935,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Apataniidae,Apataniinae,Apataniini,,Apatania,,,,,
Trichoptera,Apataniidae,FALSE,no,,DNI,Apataniidae,Apataniidae,DNI,598182,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Apataniidae,,,,,,,,,
Chironomidae,Apedilum,FALSE,no,,Apedilum,Apedilum,Apedilum,DNI,206655,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Apedilum,,,,,
Ephemeroptera,Apobaetis,FALSE,no,,DNI,Apobaetis,Apobaetis,DNI,100936,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Apobaetis,,,,,
Chironomidae,Apsectrotanypus,FALSE,no,,DNI,Apsectrotanypus,Apsectrotanypus,DNI,128021,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Macropelopiini,,Apsectrotanypus,,,,,
Chironomidae,Apsectrotanypus johnsoni,FALSE,yes,,DNI,Apsectrotanypus,Apsectrotanypus,DNI,128021,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Macropelopiini,,Apsectrotanypus,,,,,
Heteroptera,Aquarius,TRUE,NonTarget,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,103801,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Gerridae,,,,,,,,,
Heteroptera,Aquarius nyctalis,TRUE,NonTarget,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,103801,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Gerridae,,,,,,,,,
Heteroptera,Aquarius remigis,TRUE,NonTarget,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,103801,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Gerridae,,,,,,,,,
Terrestrial,Arachnida,TRUE,NonTarget,Terrestrial,DNI,DNI,DNI,DNI,82708,Animalia,Arthropoda,Chelicerata,Arachnida,,,,,,,,,,,,,,
Coleoptera,Araeopidius monachus,FALSE,no,,DNI,Araeopidius monachus,Araeopidius monachus,DNI,708487,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Ptilodactylidae,Araeopidiinae,,,Araeopidius,,,,,monachus
Odonata,Archilestes,FALSE,no,,DNI,Archilestes,Archilestes,DNI,102059,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Zygoptera,,Lestidae,,,,Archilestes,,,,,
Odonata,Archilestes californica,FALSE,yes,,DNI,Archilestes,Archilestes,DNI,102059,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Zygoptera,,Lestidae,,,,Archilestes,,,,,
