Version,6/10/2024
Primary contact Great Plains BCG,Jen Stamp <Jen.Stamp@tetratech.com>
,
TaxaID,taxon name (post-translation)
Rank,level of taxonomic resolution
NonTarget,FALSE = target (ok to include in calculations). TRUE = nontarget (not appropriate to include in the Great Plains BCG calculation)
BCG_Attr,"Great Plains Biological Condition Gradient (BCG) taxa attribute assignments (2, 3, 4, 5, 6m). 2 = highly sensitive; 3 = sensitive ubiquitous; 4 = moderately tolerant; 5 = highly tolerant; 6m = nonnative, moderately tolerant"
BCG_Attr2,"Great Plains BCG attribute IV sub-level: 4_better, 4_middle, 4_worse"
FFG,"Great Plains BCG Functional Feeding Group: collector-gatherer (CG), collector-filterer (CF), predator (PR), scraper (SC), shredder (SH), macrophyte herbivore (MH), omnivore (OM), parasite (PA), piercer-herbivore (PH), xylophage (XY). Multiple entries are allowed and are separated with a comma"
FFG_Src,"Source(s) of FFG information: Iowa Department of Natural Resources (IA DNR), Missouri Department of Natural Resources (MO DNR), Nebraska Department of Environmental Quality (NE DEQ), Minnesota Pollution Control Agency (MPCA), Oklahoma Conservation Commission (OCC), Oklahoma Water Resources Board (OWRB), and EPA National Rivers and Streams Assessment (NRSA)"
HABIT,"Great Plains BCG Habit: burrowers (BU), climbers (CB), clingers (CN), sprawlers (SP), swimmers (SW). Multiple entries are allowed and are separated with a comma"
HABIT_Src,"Source(s) of habit information: Iowa Department of Natural Resources (IA DNR), Missouri Department of Natural Resources (MO DNR), Nebraska Department of Environmental Quality (NE DEQ), Minnesota Pollution Control Agency (MPCA), Oklahoma Conservation Commission (OCC), Oklahoma Water Resources Board (OWRB), and EPA National Rivers and Streams Assessment (NRSA)"
LIFE_CYCLE,"Great Plains BCG: Number of broods or generations of an organism in a year (also referred to as 'voltinism'): univoltine (UNI), semivoltine (SEMI), or multivoltine (MULTI). Multiple entries are allowed and are separated with a comma"
LIFE_CYCLE_Src,"Source(s) of voltinism information: EPA NRSA, Twardochleb et al. 2020"
AirBreather,"Great Plains BCG. TRUE = air breather, which include: Hemiptera (all families); Coleoptera - all adults other than Elmidae ande Dryopidae, and larvae of Dystiscidae, Hydrophilidae, Hydraenidae, Heteroceridae; Gyrinidae; Haliplidae; Scirtidae; Diptera (Culicidae larvae, Ptychopteridae larvae, Chaoboridae larvae (except Chaoborus sp.), Stratiomyidae, Dolichopodidae and Syrphidae"
PHYLUM,taxonomic hierarchy; provided by KDHE
CLASS,taxonomic hierarchy; provided by KDHE
SUBCLASS,taxonomic hierarchy; provided by KDHE
ORDER,taxonomic hierarchy; provided by KDHE
FAMILY,taxonomic hierarchy; added by Tetra Tech
SUBFAMILY,taxonomic hierarchy; provided by KDHE
TRIBE,taxonomic hierarchy; provided by KDHE
GENUS,taxonomic hierarchy; provided by KDHE
TolVal,"KS MMI (Tetra Tech 2023). Tolerance to general disturbance, scaled from 0 (most intolerant) to 10 (most tolerant); Source: KS tolerance analysis (Tetra Tech 2023), Huggins and Moffett (1988), KBTOLR, Regional BCG"
NOD,Huggins and Moffett 1988. nutrients and oxygen-demanding substances. scaled from 0 (intolerant) - 5 (most tolerant); based on literature reviews and best professional judgment
AP,Huggins and Moffett 1988. agricultural pesticides. scaled from 0 (intolerant) - 5 (most tolerant); based on literature reviews and best professional judgment
HM,Huggins and Moffett 1988. heavy metals. scaled from 0 (intolerant) - 5 (most tolerant); based on literature reviews and best professional judgment
POC,Huggins and Moffett 1988. persistent organic compounds. scaled from 0 (intolerant) - 5 (most tolerant); based on literature reviews and best professional judgment
SA,Huggins and Moffett 1988. salinity. scaled from 0 (intolerant) - 5 (most tolerant); based on literature reviews and best professional judgment
SSS,Huggins and Moffett 1988. suspended solids and sediments. scaled from 0 (intolerant) - 5 (most tolerant); based on literature reviews and best professional judgment
Min_HM1988,"Huggins and Moffett 1988. minimum score NOD, AP, HM, POC, SA, SSS"
Max_HM1988,"Huggins and Moffett 1988. maximum score NOD, AP, HM, POC, SA, SSS"
Mean_HM1988,"Huggins and Moffett 1988. mean score NOD, AP, HM, POC, SA, SSS"
KBTOLR,"(old) KDHE tolerance values, scaled from 0 (intolerant) -11 (tolerant); based on literature reviews and best professional judgment"
