Date,TaxaID,TypeOfChange
20240610,CAECIDOTEA,changed BCG Attr from IV_worse to IV_middle
20240610,FALLCEON,changed BCG Attr from IV_worse to IV_middle
20240610,FAXONIUS,changed BCG Attr from IV_better to IV_middle
20240610,FAXONIUS IMMUNIS,changed BCG Attr from IV_better to IV_middle
20250212,CORIXIDAE,changed BCG Attr from IV_middle to IV_worse
20250212,MUSCULIUM,changed BCG Attr for family SPHAERIIDAE from IV_middle to IV_worse
20250212,PISIDIUM,changed BCG Attr for family SPHAERIIDAE from IV_middle to IV_worse
20250212,SPHAERIIDAE,changed BCG Attr for family SPHAERIIDAE from IV_middle to IV_worse
20250212,SPHAERIUM,changed BCG Attr for family SPHAERIIDAE from IV_middle to IV_worse
20260210,CORBICULA,new addition per request from Kali.Boroughs@nebraska.gov (1/28)
20260210,HYDROPSYCHE DEPRAVATA GROUP,new addition per request from Kali.Boroughs@nebraska.gov (1/28)
