orig_FinalID_IA,OTU_BCG_IA,modified_BCG,Notes,OTU_TaxaTolAnal
ACENTRELLA,ACENTRELLA,FALSE,,ACENTRELLA
ACENTRELLA PARVULA,ACENTRELLA PARVULA,FALSE,,ACENTRELLA PARVULA
ACENTRELLA TURBIDA,ACENTRELLA TURBIDA,FALSE,,ACENTRELLA TURBIDA
ACERPENNA,ACERPENNA,FALSE,,ACERPENNA
ACERPENNA MACDUNNOUGHI,ACERPENNA MACDUNNOUGHI,FALSE,,ACERPENNA MACDUNNOUGHI
ACERPENNA PYGMAEA,ACERPENNA PYGMAEA,FALSE,,ACERPENNA PYGMAEA
ACILIUS,ACILIUS,FALSE,,ACILIUS
ACILIUS FRATERNUS,ACILIUS FRATERNUS,FALSE,,ACILIUS FRATERNUS
ACILIUS MEDIATUS,ACILIUS MEDIATUS,FALSE,,ACILIUS MEDIATUS
ACILIUS SYLVANUS,ACILIUS SYLVANUS,FALSE,,ACILIUS SYLVANUS
ACRONEURIA,ACRONEURIA,FALSE,,ACRONEURIA
ACRONEURIA ABNORMIS,ACRONEURIA ABNORMIS,FALSE,,ACRONEURIA ABNORMIS
ACRONEURIA LYCORIAS,ACRONEURIA LYCORIAS,FALSE,,ACRONEURIA LYCORIAS
ACTINOBDELLA INEQUIANNULATA,ACTINOBDELLA INEQUIANNULATA,FALSE,,ACTINOBDELLA INEQUIANNULATA
AEDES,AEDES,FALSE,,AEDES
AESHNA,AESHNA,FALSE,,AESHNA
AESHNA UMBROSA,AESHNA UMBROSA,FALSE,,AESHNA UMBROSA
AESHNA/ANAX,AESHNA/ANAX,FALSE,,AESHNA/ANAX
AESHNIDAE,AESHNIDAE,FALSE,,AESHNIDAE
AGABINAE,AGABINAE,FALSE,,AGABINAE
AGABINI-COMPLEX,AGABINI-COMPLEX,FALSE,,AGABINI
AGABUS,AGABUS,FALSE,,AGABUS
AGABUS AMBIGUUS,AGABUS AMBIGUUS,FALSE,,AGABUS AMBIGUUS
AGABUS DISINTEGRATUS,AGABUS DISINTEGRATUS,FALSE,,AGABUS DISINTEGRATUS
AGABUS/ILYBISOMA/PLATAMBUS,AGABUS/ILYBISOMA/PLATAMBUS,FALSE,,AGABUS/ILYBISOMA/PLATAMBUS
AGABUS/ILYBIUS,AGABUS/ILYBIUS,FALSE,,AGABUS/ILYBIUS
AGNETINA,AGNETINA,FALSE,,AGNETINA
AGNETINA CAPITATA,AGNETINA CAPITATA,FALSE,,AGNETINA CAPITATA
ALASMIDONTA MARGINATA,ALASMIDONTA MARGINATA,FALSE,,ALASMIDONTA MARGINATA
ALLOCAPNIA,ALLOCAPNIA,FALSE,,ALLOCAPNIA
ALLUAUDOMYIA,ALLUAUDOMYIA,FALSE,,ALLUAUDOMYIA
AMERCAENIS,AMERCAENIS,FALSE,,AMERCAENIS
AMERCAENIS RIDENS,AMERCAENIS RIDENS,FALSE,,AMERCAENIS RIDENS
AMNICOLA LIMOSUS,AMNICOLA LIMOSUS,FALSE,,AMNICOLA LIMOSA
AMPHIAGRION,AMPHIAGRION,FALSE,,AMPHIAGRION
AMPHINEMURA,AMPHINEMURA,FALSE,,AMPHINEMURA
AMPHINEMURA DELOSA,AMPHINEMURA DELOSA,FALSE,,AMPHINEMURA DELOSA
AMPHINEMURA VARSHAVA,AMPHINEMURA VARSHAVA,FALSE,,AMPHINEMURA VARSHAVA
AMPHIPODA,AMPHIPODA,FALSE,,AMPHIPODA
ANABOLIA,ANABOLIA,FALSE,,ANABOLIA
ANACAENA,ANACAENA,FALSE,,ANACAENA
ANACAENA LUTESCENS,ANACAENA LUTESCENS,FALSE,,ANACAENA LUTESCENS
ANAX,ANAX,FALSE,,ANAX
ANAX JUNIUS,ANAX JUNIUS,FALSE,,ANAX JUNIUS
ANCYLIDAE,ANCYLIDAE,FALSE,,ANCYLIDAE
ANCYRONYX,ANCYRONYX,FALSE,,ANCYRONYX
ANCYRONYX VARIEGATUS,ANCYRONYX VARIEGATUS,FALSE,,ANCYRONYX VARIEGATUS
ANNELIDA,ANNELIDA,FALSE,,ANNELIDA
ANODONTINAE,ANODONTINAE,FALSE,,ANODONTINAE
ANODONTOIDES FERUSSACIANUS,ANODONTOIDES FERUSSACIANUS,FALSE,,ANODONTOIDES FERUSSACIANUS
ANOPHELES,ANOPHELES,FALSE,,ANOPHELES
ANTHOPOTAMUS,ANTHOPOTAMUS,FALSE,,ANTHOPOTAMUS
ANTHOPOTAMUS MYOPS,ANTHOPOTAMUS MYOPS,FALSE,,ANTHOPOTAMUS MYOPS
ANTOCHA,ANTOCHA,FALSE,,ANTOCHA
APOBAETIS,APOBAETIS,FALSE,,APOBAETIS
AQUARIUS,AQUARIUS,FALSE,,AQUARIUS
AQUARIUS REMIGIS,AQUARIUS REMIGIS,FALSE,,AQUARIUS REMIGIS
ARCHILESTES,ARCHILESTES,FALSE,,ARCHILESTES
ARCHILESTES GRANDIS,ARCHILESTES GRANDIS,FALSE,,ARCHILESTES GRANDIS
ARGIA,ARGIA,FALSE,,ARGIA
ARGIA APICALIS,ARGIA APICALIS,FALSE,,ARGIA APICALIS
ARGIA MOESTA,ARGIA MOESTA,FALSE,,ARGIA MOESTA
ARHYNCHOBDELLIDA,ARHYNCHOBDELLIDA,FALSE,,ARHYNCHOBDELLIDA
ARIGOMPHUS,ARIGOMPHUS,FALSE,,ARIGOMPHUS
ARIGOMPHUS CORNUTUS,ARIGOMPHUS CORNUTUS,FALSE,,ARIGOMPHUS CORNUTUS
ASELLIDAE,ASELLIDAE,FALSE,,ASELLIDAE
ATHERIX,ATHERIX,FALSE,,ATHERIX
ATHERIX VARIEGATUS,ATHERIX VARIEGATUS,FALSE,,ATHERIX VARIEGATUS
ATRICHOPOGON,ATRICHOPOGON,FALSE,,ATRICHOPOGON
ATTANEURIA,ATTANEURIA,FALSE,,ATTANEURIA
ATTANEURIA RURALIS,ATTANEURIA RURALIS,FALSE,,ATTANEURIA RURALIS
BAETIDAE,BAETIDAE,FALSE,,BAETIDAE
BAETIS,BAETIS,FALSE,,BAETIS
BAETIS BRUNNEICOLOR,BAETIS BRUNNEICOLOR,FALSE,,BAETIS BRUNNEICOLOR
BAETIS FLAVISTRIGA,BAETIS FLAVISTRIGA,FALSE,,BAETIS FLAVISTRIGA
BAETIS INTERCALARIS,BAETIS INTERCALARIS,FALSE,,BAETIS INTERCALARIS
BAETIS PLUTO,BAETIS PLUTO,FALSE,,BAETIS PLUTO
BAETIS TRICAUDATUS,BAETIS TRICAUDATUS,FALSE,ORWA uses 'Baetis tricaudatus complex',BAETIS TRICAUDATUS COMPLEX
BAETISCA,BAETISCA,FALSE,,BAETISCA
BAETISCA LACUSTRIS,BAETISCA LACUSTRIS,FALSE,,BAETISCA LACUSTRIS
BAETISCA LAURENTINA,BAETISCA LAURENTINA,FALSE,,BAETISCA LAURENTINA
BAETISCA OBESA,BAETISCA OBESA,FALSE,,BAETISCA OBESA
BAETISCIDAE,BAETISCIDAE,FALSE,,BAETISCIDAE
BASIAESCHNA JANATA,BASIAESCHNA JANATA,FALSE,,BASIAESCHNA JANATA
BELOSTOMA,BELOSTOMA,FALSE,,BELOSTOMA
BELOSTOMA FLUMINEUM,BELOSTOMA FLUMINEUM,FALSE,,BELOSTOMA FLUMINEUM
BELOSTOMATIDAE,BELOSTOMATIDAE,FALSE,,BELOSTOMATIDAE
BEROSUS,BEROSUS,FALSE,,BEROSUS
BEROSUS ACULEATUS,BEROSUS ACULEATUS,FALSE,,BEROSUS ACULEATUS
BEROSUS FRATERNUS,BEROSUS FRATERNUS,FALSE,,BEROSUS FRATERNUS
BEROSUS INFUSCATUS,BEROSUS INFUSCATUS,FALSE,,BEROSUS INFUSCATUS
BEROSUS PANTHERINUS,BEROSUS PANTHERINUS,FALSE,,BEROSUS PANTHERINUS
BEROSUS PEREGRINUS,BEROSUS PEREGRINUS,FALSE,,BEROSUS PEREGRINUS
BEROSUS SAYI,BEROSUS SAYI,FALSE,,BEROSUS SAYI
BEZZIA,BEZZIA,FALSE,,BEZZIA
BEZZIA/PALPOMYIA,BEZZIA/PALPOMYIA,FALSE,,BEZZIA/PALPOMYIA
BITTACOMORPHA,BITTACOMORPHA,FALSE,,BITTACOMORPHA
BITTACOMORPHA CLAVIPES,BITTACOMORPHA CLAVIPES,FALSE,,BITTACOMORPHA CLAVIPES
BIVALVIA,BIVALVIA,FALSE,,BIVALVIA
BOYERIA,BOYERIA,FALSE,,BOYERIA
BOYERIA VINOSA,BOYERIA VINOSA,FALSE,,BOYERIA VINOSA
BRACHYCENTRIDAE,BRACHYCENTRIDAE,FALSE,,BRACHYCENTRIDAE
BRACHYCENTRUS,BRACHYCENTRUS,FALSE,,BRACHYCENTRUS
BRACHYCENTRUS AMERICANUS,BRACHYCENTRUS AMERICANUS,FALSE,,BRACHYCENTRUS AMERICANUS
BRACHYCENTRUS LATERALIS,BRACHYCENTRUS LATERALIS,FALSE,,BRACHYCENTRUS LATERALIS
BRACHYCENTRUS NUMEROSUS,BRACHYCENTRUS NUMEROSUS,FALSE,,BRACHYCENTRUS NUMEROSUS
BRACHYCENTRUS OCCIDENTALIS,BRACHYCENTRUS OCCIDENTALIS,FALSE,,BRACHYCENTRUS OCCIDENTALIS
BRACHYCERCUS,BRACHYCERCUS,FALSE,,BRACHYCERCUS
BRACHYCERCUS FLAVUS,BRACHYCERCUS FLAVUS,FALSE,,SPARBARUS FLAVUS
BRANCHIOBDELLIDA,BRANCHIOBDELLIDA,FALSE,,BRANCHIOBDELLIDA
BRANCHIURA SOWERBYI,BRANCHIURA SOWERBYI,FALSE,,BRANCHIURA SOWERBYI
BUENOA,BUENOA,FALSE,,BUENOA
CAECIDOTEA,CAECIDOTEA,FALSE,,CAECIDOTEA
CAECIDOTEA INTERMEDIA,CAECIDOTEA INTERMEDIA,FALSE,,CAECIDOTEA INTERMEDIA
CAECIDOTEA KENDEIGHI,CAECIDOTEA KENDEIGHI,FALSE,,CAECIDOTEA KENDEIGHI
CAENIDAE,CAENIDAE,FALSE,,CAENIDAE
CAENIS,CAENIS,FALSE,,CAENIS
CAENIS AMICA,CAENIS DIMINUTA GROUP,TRUE,"CAENIS DIMINUTA GROUP per Sean Sullivan, ToddH (11/29)",CAENIS AMICA
CAENIS ANCEPS,CAENIS HILARIS GROUP,TRUE,"HILARIS GROUP per Sean Sullivan, ToddH (11/29)",CAENIS ANCEPS
CAENIS DIMINUTA,CAENIS DIMINUTA GROUP,TRUE,"CAENIS DIMINUTA GROUP per Sean Sullivan, ToddH (11/29)",CAENIS DIMINUTA
CAENIS DIMINUTA GROUP,CAENIS DIMINUTA GROUP,FALSE,,
CAENIS HILARIS,CAENIS HILARIS GROUP,TRUE,"HILARIS GROUP per Sean Sullivan, ToddH (11/29)",CAENIS HILARIS
CAENIS HILARIS GROUP,CAENIS HILARIS GROUP,FALSE,,
CAENIS LATIPENNIS,CAENIS DIMINUTA GROUP,TRUE,"CAENIS DIMINUTA GROUP per Sean Sullivan, ToddH (11/29)",CAENIS LATIPENNIS
CAENIS PUNCTATA,CAENIS DIMINUTA GROUP,TRUE,"CAENIS DIMINUTA GROUP per Sean Sullivan, ToddH (11/29)",CAENIS PUNCTATA
CAENIS TARDATA,CAENIS TARDATA,FALSE,,CAENIS TARDATA
CALLIBAETIS,CALLIBAETIS,FALSE,,CALLIBAETIS
CALLIBAETIS FERRUGINEUS,CALLIBAETIS FERRUGINEUS,FALSE,,CALLIBAETIS FERRUGINEUS
CALLIBAETIS FLORIDANUS,CALLIBAETIS FLORIDANUS,FALSE,,CALLIBAETIS FLORIDANUS
CALLIBAETIS FLUCTUANS,CALLIBAETIS FLUCTUANS,FALSE,,CALLIBAETIS FLUCTUANS
CALLIBAETIS PICTUS,CALLIBAETIS PICTUS,FALSE,,CALLIBAETIS PICTUS
CALOPARYPHUS,CALOPARYPHUS,FALSE,,CALOPARYPHUS
CALOPTERYGIDAE,CALOPTERYGIDAE,FALSE,,CALOPTERYGIDAE
CALOPTERYX,CALOPTERYX,FALSE,,CALOPTERYX
CALOPTERYX MACULATA,CALOPTERYX MACULATA,FALSE,,CALOPTERYX MACULATA
CAMBARIDAE,CAMBARIDAE,FALSE,,CAMBARIDAE
CAMBARUS DIOGENES,LACUNICAMBARUS DIOGENES,TRUE,,CAMBARUS DIOGENES
CAMELOBAETIDIUS,CAMELOBAETIDIUS,FALSE,,CAMELOBAETIDIUS
CAMELOBAETIDIUS WALTZI,CAMELOBAETIDIUS WALTZI,FALSE,,CAMELOBAETIDIUS WALTZI
CAMELOBAETIDIUS WARRENI,CAMELOBAETIDIUS WARRENI,FALSE,,CAMELOBAETIDIUS WARRENI
CAMPELOMA,CAMPELOMA,FALSE,,CAMPELOMA
CAPNIIDAE,CAPNIIDAE,FALSE,,CAPNIIDAE
CARABIDAE,CARABIDAE,FALSE,,EXCLUDE
CELINA,CELINA,FALSE,,CELINA
CENTROPTILUM,CENTROPTILUM,FALSE,,ANAFROPTILUM/NEOCLOEON
CENTROPTILUM ALBUM,ANAFROPTILUM ALBUM,TRUE,,ANAFROPTILUM ALBUM
CENTROPTILUM BIFURCATUM,ANAFROPTILUM BIFURCATUM,TRUE,,ANAFROPTILUM BIFURCATUM
CENTROPTILUM TRIANGULIFER,NEOCLOEON TRIANGULIFER,TRUE,,NEOCLOEON TRIANGULIFER
CENTROPTILUM VICTORIAE,ANAFROPTILUM VICTORIAE,TRUE,,ANAFROPTILUM VICTORIAE
CERACLEA,CERACLEA,FALSE,,CERACLEA
CERACLEA ALCES,CERACLEA ALCES,FALSE,,CERACLEA ALCES
CERACLEA ANCYLUS,CERACLEA ANCYLUS,FALSE,,CERACLEA ANCYLUS
CERACLEA CANCELLATA,CERACLEA CANCELLATA,FALSE,,CERACLEA CANCELLATA
CERACLEA ENODIS,CERACLEA ENODIS,FALSE,,CERACLEA ENODIS
CERACLEA FLAVA,CERACLEA FLAVA,FALSE,,CERACLEA FLAVA
CERACLEA MACULATA,CERACLEA MACULATA,FALSE,,CERACLEA MACULATA
CERACLEA NEFFI,CERACLEA NEFFI,FALSE,,CERACLEA NEFFI
CERACLEA NEPHA,CERACLEA NEPHA,FALSE,,CERACLEA NEPHA
CERACLEA SPONGILLOVORAX,CERACLEA SPONGILLOVORAX,FALSE,,CERACLEA SPONGILLOVORAX
CERACLEA TARSIPUNCTATA,CERACLEA TARSIPUNCTATA,FALSE,,CERACLEA TARSIPUNCTATA
CERATOPOGON,CERATOPOGON,FALSE,,CERATOPOGON
CERATOPOGONIDAE,CERATOPOGONIDAE,FALSE,,CERATOPOGONIDAE
CERATOPSYCHE,CERATOPSYCHE,FALSE,,CERATOPSYCHE
CERATOPSYCHE ALHEDRA,CERATOPSYCHE ALHEDRA,FALSE,,CERATOPSYCHE ALHEDRA
CERATOPSYCHE ALTERNANS,CERATOPSYCHE ALTERNANS,FALSE,,CERATOPSYCHE ALTERNANS
CERATOPSYCHE BRONTA,CERATOPSYCHE BRONTA,FALSE,,CERATOPSYCHE BRONTA
CERATOPSYCHE MOROSA,CERATOPSYCHE MOROSA,FALSE,,CERATOPSYCHE MOROSA
CERATOPSYCHE SLOSSONAE,CERATOPSYCHE SLOSSONAE,FALSE,,CERATOPSYCHE SLOSSONAE
CERATOPSYCHE SPARNA,CERATOPSYCHE SPARNA,FALSE,,CERATOPSYCHE SPARNA
CERCOBRACHYS,CERCOBRACHYS,FALSE,,CERCOBRACHYS
CERCOBRACHYS FOX,CERCOBRACHYS FOX,FALSE,,CERCOBRACHYS FOX
CERCOBRACHYS SERPENTIS,CERCOBRACHYS SERPENTIS,FALSE,,CERCOBRACHYS SERPENTIS
CHAOBORUS,CHAOBORUS,FALSE,,CHAOBORUS
CHAOBORUS PUNCTIPENNIS,CHAOBORUS PUNCTIPENNIS,FALSE,,CHAOBORUS PUNCTIPENNIS
CHAULIODES,CHAULIODES,FALSE,,CHAULIODES
CHAULIODES PECTINICORNIS,CHAULIODES PECTINICORNIS,FALSE,,CHAULIODES PECTINICORNIS
CHAULIODES RASTRICORNIS,CHAULIODES RASTRICORNIS,FALSE,,CHAULIODES RASTRICORNIS
CHELIFERA/METACHELA,CHELIFERA/METACHELA,FALSE,,CHELIFERA/METACHELA
CHEUMATOPSYCHE,CHEUMATOPSYCHE,FALSE,,CHEUMATOPSYCHE
CHIMARRA,CHIMARRA,FALSE,,CHIMARRA
CHIMARRA ATERRIMA,CHIMARRA ATERRIMA,FALSE,,CHIMARRA ATERRIMA
CHIMARRA OBSCURA,CHIMARRA OBSCURA,FALSE,,CHIMARRA OBSCURA
CHIRONOMIDAE,CHIRONOMIDAE,FALSE,,CHIRONOMIDAE
CHRYSOMELIDAE,CHRYSOMELIDAE,FALSE,,CHRYSOMELIDAE
CHRYSOPS,CHRYSOPS,FALSE,,CHRYSOPS
CLIMACIA,CLIMACIA,FALSE,,CLIMACIA
CLINOCERA,CLINOCERA,FALSE,,CLINOCERA
CLINOHELEA,CLINOHELEA,FALSE,,CLINOHELEA
CLIOPERLA CLIO,CLIOPERLA CLIO,FALSE,,CLIOPERLA CLIO
CLOEON,CLOEON,FALSE,,CLOEON
CNEPHIA,CNEPHIA,FALSE,,CNEPHIA
COENAGRION,COENAGRION,FALSE,,COENAGRION
COENAGRION/ENALLAGMA,COENAGRION/ENALLAGMA,FALSE,,COENAGRION/ENALLAGMA
COENAGRIONIDAE,COENAGRIONIDAE,FALSE,,COENAGRIONIDAE
COLEOPTERA,COLEOPTERA,FALSE,,COLEOPTERA
COLLEMBOLA,COLLEMBOLA,FALSE,,COLLEMBOLA
COLYMBETES,COLYMBETES,FALSE,,COLYMBETES
COPELATUS,COPELATUS,FALSE,,COPELATUS
COPELATUS CHEVROLATI,COPELATUS CHEVROLATI,FALSE,,
