Taxon_orig,NonTarget,Rationale,OTU_MTTI,OTU_MetricCalc,OTU_BCG_MariNW,OTU_BSTI
Ampumixis dispar,FALSE,only one species in Genus,Ampumixis dispar,Ampumixis,Ampumixis,Ampumixis dispar
Anacaena,FALSE,,Hydrophilidae,Anacaena,Anacaena,Hydrophilidae
Anafroptilum,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Anafroptilum/Neocloeon,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Anafroptilum/Neocloeon/Procloeon,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Anafroptilum/Procloeon,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Anagapetus,FALSE,,Anagapetus,Anagapetus,Anagapetus,Anagapetus
Anax,FALSE,,Aeshnidae,Anax,Anax,DNI
Anax junius,FALSE,,Aeshnidae,Anax,Anax,DNI
Anchycteis,FALSE,,DNI,Ptilodactylidae,Ptilodactylidae,DNI
Anchycteis velutina,FALSE,,DNI,Ptilodactylidae,Ptilodactylidae,DNI
Ancylidae,FALSE,,DNI,Ancylidae,Ancylidae,DNI
Ancylinae,FALSE,,DNI,Ancylidae,Ancylidae,DNI
Anericorophium,FALSE,,DNI,Americorophium,Americorophium,DNI
Anisogammaridae,FALSE,,Anisogammaridae,Anisogammaridae,Anisogammaridae,DNI
Anisogammarus,FALSE,,Anisogammaridae,Anisogammaridae,Anisogammaridae,DNI
Anisoptera,FALSE,,DNI,Anisoptera,Anisoptera,DNI
Annelida,TRUE,TOO COARSE,DNI,DNI,DNI,DNI
Anodonta,FALSE,,DNI,Anodonta,Anodonta,DNI
Anodonta oregonsis,FALSE,,DNI,Anodonta,Anodonta,DNI
Anopheles,FALSE,,DNI,Anopheles,Anopheles,DNI
Anostraca,TRUE,fairy shrimp,DNI,DNI,DNI,DNI
Antillocladius,FALSE,,DNI,Orthocladiinae,Orthocladiinae,DNI
Antocha,FALSE,,Antocha,Antocha,Antocha,Antocha
Antocha monticola,FALSE,,Antocha,Antocha,Antocha,Antocha
Anura,TRUE,Fish,DNI,DNI,DNI,DNI
Apatania,FALSE,,Apatania,Apatania,Apatania,Apatania
Apatania sorex,FALSE,,Apatania,Apatania,Apatania,Apatania
Apataniidae,FALSE,,DNI,Apataniidae,Apataniidae,DNI
Apedilum,FALSE,,Apedilum,Apedilum,Apedilum,DNI
Apobaetis,FALSE,,DNI,Apobaetis,Apobaetis,DNI
Apobaetis indeprensus,FALSE,,DNI,Apobaetis,Apobaetis,DNI
Apsectrotanypus,FALSE,,DNI,Apsectrotanypus,Apsectrotanypus,DNI
Apsectrotanypus johnsoni,FALSE,,DNI,Apsectrotanypus,Apsectrotanypus,DNI
Aquarius,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Aquarius nyctalis,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Aquarius remigis,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Arachnida,TRUE,Terrestrial,DNI,DNI,DNI,DNI
Araeopidius monachus,FALSE,,DNI,Araeopidius monachus,Araeopidius monachus,DNI
Archilestes,FALSE,,DNI,Archilestes,Archilestes,DNI
Archilestes californica,FALSE,,DNI,Archilestes,Archilestes,DNI
Archilestes grandis,FALSE,,DNI,Archilestes,Archilestes,DNI
Archoophora,FALSE,,Trepaxonemata,Trepaxonemata,Trepaxonemata,Trepaxonemata
Arcteonais,FALSE,,Naidinae,Arcteonais,Oligochaeta,Naidinae
Arcteonais lomondi,FALSE,,DNI,Arcteonais,Oligochaeta,Naidinae
Arctoconopa,FALSE,extreme southern range dubius ID,DNI,Limoniidae,Limoniidae,DNI
Arctopsyche,FALSE,,Arctopsyche,Arctopsyche,Arctopsyche,Arctopsyche
Arctopsyche californica,FALSE,,Arctopsyche,Arctopsyche,Arctopsyche,Arctopsyche
Arctopsyche grandis,FALSE,,Arctopsyche,Arctopsyche,Arctopsyche,Arctopsyche
Arctopsyche grandis type 1,FALSE,,Arctopsyche,Arctopsyche,Arctopsyche,Arctopsyche
Arctopsyche lagodensis complex,FALSE,,Arctopsyche,Arctopsyche,Arctopsyche,Arctopsyche
Arctopsychinae,FALSE,,DNI,Arctopsychinae,Arctopsychinae,DNI
Arctotipula,FALSE,,Tipula,Tipula,Tipula,Tipula
Argia,FALSE,,Coenagrionidae,Argia,Argia,Argia
Argia emma,FALSE,,Coenagrionidae,Argia,Argia,Argia
Argia vivida,FALSE,,Coenagrionidae,Argia,Argia,Argia
Argyra,FALSE,,DNI,Dolichopodidae,Dolichopodidae,DNI
Arhynchobdellida,FALSE,,Hirudinida,Arhynchobdellida,Arhynchobdellida,Hirudinida
Arrenuridae,FALSE,,DNI,Arrenuridae,Trombidiformes,DNI
Arrenurus,FALSE,,Arrenurus,Arrenurus,Trombidiformes,Arrenurus
Arsapnia,FALSE,,Capniidae,Capniidae,Capniidae,Capniidae
Ascaphus truei,TRUE,Fish,DNI,DNI,DNI,DNI
Asellidae,FALSE,,DNI,Asellidae,Asellidae,DNI
Asellus,FALSE,,DNI,Asellus,Asellus,DNI
Asioplax,FALSE,,DNI,Asioplax,Asioplax,DNI
Asioplax edmundsi,FALSE,,DNI,Asioplax,Asioplax,DNI
Assia,FALSE,,Nemata,Nemata,Assia,Nemata
Astacidae,FALSE,,Pacifastacus,Astacidae,Astacidae,Pacifastacus
Asynarchus,FALSE,unique rare,DNI,Asynarchus,Asynarchus,DNI
Athericidae,FALSE,,Atherix,Atherix,Atherix,Atherix
Atherix,FALSE,,Atherix,Atherix,Atherix,Atherix
Atherix pachypus,FALSE,,Atherix,Atherix,Atherix,Atherix
Athienemanniidae,FALSE,,Athienemanniidae,Athienemanniidae,Trombidiformes,DNI
Atractelmis,FALSE,only one species in Genus,DNI,Atractelmis,Atractelmis,DNI
Atractelmis wawona,FALSE,only one species in Genus,DNI,Atractelmis,Atractelmis,DNI
Atractidae,FALSE,,Atractides,Atractides,Trombidiformes,Atractides
Atractides,FALSE,,Atractides,Atractides,Trombidiformes,Atractides
Atrichomelina,FALSE,,DNI,Sciomyzidae,Sciomyzidae,DNI
Atrichopogon,FALSE,,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae
Atrichopogon/Forcipomyia,FALSE,,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae
Attenella,FALSE,,DNI,Attenella,Attenella,Attenella
Attenella delantala,FALSE,,Attenella delantala,Attenella delantala,Attenella delantala,Attenella
Attenella margarita,FALSE,,Attenella margarita,Attenella margarita,Attenella margarita,Attenella
Attenella soquele,FALSE,,DNI,Attenella,Attenella,Attenella
Aturidae,FALSE,,DNI,Aturidae,Trombidiformes,DNI
Aturus,FALSE,,DNI,Aturus,Trombidiformes,DNI
Atylotus/Tabanus,FALSE,,Tabanidae,Tabanidae,Tabanidae,Tabanidae
Aulodrilus,FALSE,,Tubificinae,Aulodrilus,Oligochaeta,Tubificinae
Aulodrilus pluriseta,FALSE,,Tubificinae,Aulodrilus,Oligochaeta,Tubificinae
Austrolimnophila,FALSE,,DNI,Austrolimnophila,Austrolimnophila,DNI
Babia,TRUE,Terrestrial,DNI,DNI,DNI,DNI
Baetidae,FALSE,,DNI,Baetidae,Baetidae,DNI
Baetis,FALSE,,DNI,Baetis,Baetis,DNI
Baetis alius,FALSE,,Baetis alius,Baetis alius,Baetis alius,Baetis alius
Baetis bicaudatus,FALSE,,Baetis bicaudatus complex,Baetis bicaudatus complex,Baetis bicaudatus complex,Baetis bicaudatus complex
Baetis bicaudatus complex,FALSE,,Baetis bicaudatus complex,Baetis bicaudatus complex,Baetis bicaudatus complex,Baetis bicaudatus complex
Baetis flavistriga,FALSE,,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex
Baetis flavistriga complex,FALSE,,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex
Baetis Fuscatus Gr.,FALSE,,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex
Baetis Fuscatus Group,FALSE,,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex
Baetis notos,FALSE,,Baetis notos,Baetis notos,Baetis notos,Baetis notos
Baetis piscatoris,FALSE,,Baetis piscatoris complex,Baetis piscatoris complex,Baetis piscatoris complex,Baetis piscatoris complex
Baetis piscatoris complex,FALSE,,Baetis piscatoris complex,Baetis piscatoris complex,Baetis piscatoris complex,Baetis piscatoris complex
Baetis Rhodani Gr.,FALSE,,Baetis Rhodani Group,Baetis Rhodani Group,Baetis Rhodani Group,DNI
Baetis rhodani group,FALSE,,Baetis Rhodani Group,Baetis Rhodani Group,Baetis Rhodani Group,DNI
Baetis Rhodani Group,FALSE,,Baetis Rhodani Group,Baetis Rhodani Group,Baetis Rhodani Group,DNI
Baetis tricaudatus,FALSE,,Baetis tricaudatus complex,Baetis tricaudatus complex,Baetis tricaudatus complex,Baetis tricaudatus complex
Baetis tricaudatus complex,FALSE,,Baetis tricaudatus complex,Baetis tricaudatus complex,Baetis tricaudatus complex,Baetis tricaudatus complex
Baetis tricaudatus Group,FALSE,,Baetis tricaudatus complex,Baetis tricaudatus complex,Baetis tricaudatus complex,Baetis tricaudatus complex
Baetisca,FALSE,,DNI,Baetisca,Baetisca,DNI
Baetodes,FALSE,,DNI,Baetodes,Baetodes,DNI
Baetodes tritus,FALSE,,DNI,Baetodes,Baetodes,DNI
Baetopus trishae,TRUE,Dubious ID eastern Taxon,DNI,DNI,DNI,DNI
Bandakiopsis,FALSE,,DNI,Bandakiopsis,Trombidiformes,DNI
Banksiola,FALSE,,DNI,Banksiola,Banksiola,DNI
Banksiola crotchi,FALSE,,DNI,Banksiola,Banksiola,DNI
Basommatophora,FALSE,TOO COARSE,DNI,Gastropoda,Gastropoda,DNI
Batracobdella,FALSE,,Hirudinida,Erpobdella,Erpobdella,Hirudinida
Bellardina,FALSE,Subgenus of Tipulasemi aquatic,Tipula,Tipula,Tipula,Tipula
Belostoma,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Belostoma flumineum,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Belostomatidae,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Beringotipula,TRUE,meticolous habitats- subgenus of Tipula,Tipula,Tipula,Tipula,Tipula
Berosus,FALSE,,Hydrophilidae,Berosus,Berosus,Hydrophilidae
Bethbilbeckia,FALSE,,Macropelopia,Bethbilbeckia,Bethbilbeckia,Macropelopia
Bezzia,FALSE,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Bezzia / Palpomyia,FALSE,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Bezzia/Palpomyia,FALSE,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Bezzia/Palpomyia Group,FALSE,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Bezzia/Probezzia,FALSE,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Bibiocephala,FALSE,,Blephariceridae,Bibiocephala,Bibiocephala,Blephariceridae
Bibiocephala grandis,FALSE,,Blephariceridae,Bibiocephala,Bibiocephala,Blephariceridae
Bilyjomyia,FALSE,,DNI,Bilyjomyia,Bilyjomyia,DNI
Bilyjomyia algens,FALSE,only one species in Genus,DNI,Bilyjomyia,Bilyjomyia,DNI
Bisancora,FALSE,,DNI,Bisancora,Bisancora,DNI
Bittacomorpha,FALSE,,DNI,Bittacomorpha,Bittacomorpha,DNI
Bivalvia,FALSE,TOO COARSE,DNI,Bivalvia,Bivalvia,DNI
Blepharicera,FALSE,,Blephariceridae,Blepharicera,Blepharicera,Blephariceridae
Blepharicera ostensackeni,FALSE,,Blephariceridae,Blepharicera,Blepharicera,Blephariceridae
Blephariceridae,FALSE,,Blephariceridae,Blephariceridae,Blephariceridae,Blephariceridae
Bolshecapnia,FALSE,,Capniidae,Bolshecapnia,Bolshecapnia,Capniidae
Boreochlus,FALSE,,Podonominae,Boreochlus,Boreochlus,Podonominae
Boreoheptagyia,FALSE,,Boreoheptagyia,Boreoheptagyia,Boreoheptagyia,DNI
Boreonectes,FALSE,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Boreonectes,Boreonectes,Hydroporinae
Bosmina,TRUE,excluded from BMI samples,DNI,DNI,DNI,DNI
Bothrioneurum,FALSE,,DNI,Bothrioneurum,Oligochaeta,DNI
Bothrioneurum vejdovskyanum,FALSE,,DNI,Bothrioneurum,Oligochaeta,DNI
Brachinus americanus,FALSE,"This is a valid taxon, but I wonder if this was supposed to be Brachycentrus americanus??? TYPO?",DNI,Brachinus americanus,Brachinus americanus,DNI
Brachycentridae,FALSE,,DNI,Brachycentridae,Brachycentridae,DNI
Brachycentrus,FALSE,,DNI,Brachycentrus,Brachycentrus,DNI
Brachycentrus (Oligoplectrum),FALSE,,DNI,Brachycentrus,Brachycentrus,DNI
Brachycentrus americanus,FALSE,,Brachycentrus americanus,Brachycentrus americanus,Brachycentrus americanus,Brachycentrus americanus
Brachycentrus americanus complex,FALSE,,Brachycentrus americanus,Brachycentrus americanus,Brachycentrus americanus,Brachycentrus americanus
Brachycentrus echo,FALSE,,DNI,Brachycentrus,Brachycentrus,DNI
Brachycentrus occidentalis,FALSE,,Brachycentrus occidentalis,Brachycentrus occidentalis,Brachycentrus occidentalis,DNI
Brachycera,FALSE,,DNI,Brachycera,Brachycera,DNI
Brachycercus,FALSE,,DNI,Brachycercus,Brachycercus,DNI
Brachypoda,FALSE,,DNI,Brachypoda,Trombidiformes,DNI
Branchiobdella,FALSE,,Branchiobdellida,Branchiobdellida,Branchiobdellida,DNI
Branchiobdellida,FALSE,,Branchiobdellida,Branchiobdellida,Branchiobdellida,DNI
Branchiobdellidae,FALSE,,Branchiobdellida,Branchiobdellida,Branchiobdellida,DNI
Branchiura,FALSE,,DNI,Branchiura,Oligochaeta,DNI
Branchiura sowerbyi,FALSE,,DNI,Branchiura,Oligochaeta,DNI
Bratislavia,FALSE,,DNI,Bratislavia,Oligochaeta,DNI
Brillia,FALSE,,Brillia,Brillia,Brillia,Brillia
Brillia Flavifrons Gr.,FALSE,,Brillia,Brillia,Brillia,Brillia
Brillia parva,FALSE,,Brillia,Brillia,Brillia,Brillia
Brillia retifinis,FALSE,,Brillia,Brillia,Brillia,Brillia
Brundiniella,FALSE,,Brundiniella,Brundiniella,Brundiniella,Brundiniella
Brundiniella eumorpha,FALSE,,Brundiniella,Brundiniella,Brundiniella,Brundiniella
Brychius,FALSE,,Haliplidae,Brychius,Brychius,Haliplidae
Bryelmis,FALSE,,Bryelmis,Bryelmis,Bryelmis,DNI
Bryelmis rivularis,FALSE,,Bryelmis,Bryelmis,Bryelmis,DNI
Bryelmis siskiyou,FALSE,,Bryelmis,Bryelmis,Bryelmis,DNI
Bryophaenocladius,FALSE,,DNI,Bryophaenocladius,Bryophaenocladius,DNI
Bryozoa,TRUE,excluded from BMI samples,DNI,DNI,DNI,DNI
Buenoa,TRUE,excluded from BMI samples,DNI,DNI,DNI,DNI
C. Barr undescribed,FALSE,,Bryelmis,Bryelmis,Bryelmis,DNI
Caecidae,TRUE,Marine,DNI,DNI,DNI,DNI
Caecidotea,FALSE,,Caecidotea,Caecidotea,Caecidotea,Caecidotea
Caecidotea occidentalis,FALSE,,Caecidotea,Caecidotea,Caecidotea,Caecidotea
Caenidae,FALSE,,DNI,Caenidae,Caenidae,DNI
Caenis,FALSE,,Caenis,Caenis,Caenis,DNI
Caenis amica,FALSE,,Caenis,Caenis,Caenis,DNI
Caenis latipennis,FALSE,,Caenis,Caenis,Caenis,DNI
Caenis tardata,FALSE,,Caenis,Caenis,Caenis,DNI
Caenis youngi,FALSE,,Caenis,Caenis,Caenis,DNI
Caladomyia,FALSE,"in region? Tanytarsini ( neotropical OK,TX, CA)",DNI,Tanytarsini,Tanytarsini,DNI
Calamoceratidae,FALSE,very likely pupae also very likely Heteroplectron-ss,DNI,Heteroplectron californicum,Heteroplectron californicum,DNI
Calanoida,TRUE,excluded from BMI samples,DNI,DNI,DNI,DNI
Calasellus,FALSE,Slashed taxon,DNI,Calasellus/Salmasellus,Calasellus/Salmasellus,DNI
Calasellus/Salmasellus,FALSE,Slashed taxon,DNI,Calasellus/Salmasellus,Calasellus/Salmasellus,DNI
Calineuria,FALSE,,Calineuria californica,Calineuria californica,Calineuria californica,Calineuria californica
Calineuria californica,FALSE,,Calineuria californica,Calineuria californica,Calineuria californica,Calineuria californica
Callibaetis,FALSE,,Callibaetis,Callibaetis,Callibaetis,DNI
Callibaetis fluctuans,FALSE,,Callibaetis,Callibaetis,Callibaetis,DNI
Callicorixa,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Callicorixa vulnerata,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Calliperla,FALSE,Single Species in Genus,DNI,Calliperla,Calliperla,DNI
Calliperla luctuosa,FALSE,Single Species in Genus,DNI,Calliperla,Calliperla,DNI
Caloparyphus,FALSE,,Stratiomyidae,Caloparyphus,Caloparyphus,DNI
Caloparyphus/Euparyphus,FALSE,,Stratiomyidae,Stratiomyidae,Stratiomyidae,DNI
Calopterygidae,FALSE,,DNI,Calopterygidae,Calopterygidae,DNI
Calopteryx,FALSE,,DNI,Calopteryx,Calopteryx,DNI
Calopteryx aequabilis,FALSE,,DNI,Calopteryx,Calopteryx,DNI
Cambaridae,FALSE,,DNI,Cambaridae,Cambaridae,DNI
Camelobaetidius,FALSE,,DNI,Camelobaetidius,Camelobaetidius,DNI
Camelobaetidius warreni,FALSE,,DNI,Camelobaetidius,Camelobaetidius,DNI
Camptocladius,FALSE,found in cow dung,DNI,Orthocladiinae,Orthocladiinae,DNI
Canaceidae,TRUE,Terrestrial,DNI,DNI,DNI,DNI
Canthocamptidae,TRUE,excluded from BMI samples,DNI,DNI,DNI,DNI
Capnia,FALSE,,Capniidae,Capniidae,Capniidae,Capniidae
Capnia/Arsapnia,FALSE,,Capniidae,Capniidae,Capniidae,Capniidae
Capniidae,FALSE,,Capniidae,Capniidae,Capniidae,Capniidae
Capnura,FALSE,,Capniidae,Capniidae,Capniidae,Capniidae
Carabidae,TRUE,Terrestrial,DNI,DNI,DNI,DNI
Cardiocladius,FALSE,,Cardiocladius,Cardiocladius,Cardiocladius,Cardiocladius
Cardiocladius albiplumus,FALSE,,Cardiocladius,Cardiocladius,Cardiocladius,Cardiocladius
Cardiocladius obscurus,FALSE,,Cardiocladius,Cardiocladius,Cardiocladius,Cardiocladius
Cascadoperla,FALSE,Single Species in Genus,DNI,Cascadoperla,Cascadoperla,DNI
Cascadoperla trictura,FALSE,,DNI,Cascadoperla,Cascadoperla,DNI
Catenulida,FALSE,,Trepaxonemata,Trepaxonemata,Trepaxonemata,Trepaxonemata
Caudata,TRUE,Fish,DNI,DNI,DNI,DNI
Caudatella,FALSE,,DNI,Caudatella,Caudatella,Caudatella
Caudatella  ,FALSE,Trailing space after genus Name,DNI,Caudatella,Caudatella,Caudatella
Caudatella cascadia,FALSE,current nomenclature,Caudatella hystrix,Caudatella hystrix,Caudatella hystrix,Caudatella
Caudatella edmundsi,FALSE,,DNI,Caudatella edmundsi,Caudatella edmundsi,Caudatella
Caudatella heterocaudata,FALSE,,Caudatella heterocaudata complex,Caudatella heterocaudata complex,Caudatella heterocaudata complex,Caudatella
Caudatella heterocaudata complex,FALSE,,Caudatella heterocaudata complex,Caudatella heterocaudata complex,Caudatella heterocaudata complex,Caudatella
Caudatella heterocaudata group,FALSE,,Caudatella heterocaudata complex,Caudatella heterocaudata complex,Caudatella heterocaudata complex,Caudatella
Caudatella hystrix,FALSE,,Caudatella hystrix,Caudatella hystrix,Caudatella hystrix,Caudatella
Caudatella jacobi,FALSE,,DNI,Caudatella jacobi,Caudatella jacobi,Caudatella
Caudatella orestes,FALSE,jr syn of jacobi,DNI,Caudatella jacobi,Caudatella jacobi,Caudatella
Cecidomyiidae,TRUE,Terrestrial,DNI,DNI,DNI,DNI
Cenocorixa,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Centroptilum,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Centroptilum album,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Centroptilum conturbatum,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Centroptilum/Procloeon,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Ceraclea,FALSE,,DNI,Ceraclea,Ceraclea,DNI
