ScientificName,CommonName,TYPE,HABITAT,REPRODUCTION,TOLER,TROPHIC,BCG_Attr_MN2_01,BCG_Attr_MN2_02,BCG_Attr_MN2_03,BCG_Attr_MN2_04,BCG_Attr_MN2_05,BCG_Attr_MN2_06,BCG_Attr_MN2_07,BCG_Attr_MN2_10,BCG_Attr_MN2_11,Kingdom,Phylum,Class,Order,Family,Genus,Species
Alosa pseudoharengus,alewife,EX,,MA>3-T,,,,,,,,,,,,,,,,,,
Lethenteron appendix,american brook lamprey,,HW-T,MA>3-T,"I,ICW,S,SCW",,2,2,2,,,,2,2,2,Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,Lethenteron,appendix
Anguilla rostrata,american eel,,,,,PI,1,1,,,,,,,,Animalia,Chordata,Osteichthyes,Anguilliformes,Anguillidae,Anguilla,rostrata
Salmo salar,atlantic salmon,EX,CW,MA>3-T,,PI,,,,,,,,,,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salmo,salar
Etheostoma zonale,banded darter,"DS,DSS,PERC",,"MA<2,SER,SILI",S,"BI-T,IN-T",3,3,3,,,,3,4,4,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,zonale
Fundulus diaphanus,banded killifish,,,"MA<2,SER",,IN-T,3,3,3,3,3,3,3,3,3,Animalia,Chordata,Osteichthyes,Atheriniformes,Cyprinodontidae,Fundulus,diaphanus
Enneacanthus obesus,banded sunfish,,,,,,,,,,,,,,,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Enneacanthus,obesus
Hypophthalmichthys nobilis,bighead carp,EX,,SER,"T,TCW,VT",DEM,,,,,,,,,,,,,,,,
Ictiobus cyprinellus,bigmouth buffalo,,,,"T,VT","DEM,GE,OM",5a,,,5a,,,,4,4,Animalia,,,,,Ictiobus,cyprinellus
Notropis dorsalis,bigmouth shiner,SL,,"MA<2,SER","T,TCW,VT","DEM,INCYP",5a,,,5a,,,,5a,5a,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,dorsalis
Ictiobus niger,black buffalo,,,,,"DE,DEM,GE,OM",4,4,,,,,,,,Animalia,,,,,Ictiobus,niger
Ameiurus melas,black bullhead,,,,"T,TCW,VT","DEM,GE,OM",5a,,,5a,,,,5a,5a,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,melas
Pomoxis nigromaculatus,black crappie,PERC,,NE,,PI,4,4,4,4,4,4,4,5,5,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,nigromaculatus
Moxostoma duquesnei,black redhorse,DSS,,"MA>3-T,SILI","I,S,SCW","BI-T,IN-T",2,2,,,,,,4,4,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,duquesnei
Notropis heterodon,blackchin shiner,MIN-T,,"MA<2,SER","I,S","DEM,IN-T,INCYP",2,2,2,2,2,2,2,4,4,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,heterodon
Rhinichthys atratulus,blacknose dace,SL,,"MA<2,SILI",T,GE,5,5,4,5,5,4,5,4,4,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Rhinichthys,atratulus
Notropis heterolepis,blacknose shiner,"MIN-T,SL",,MA<2,"I,S","IN-T,INCYP",3,3,3,3,3,3,2,4,4,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,heterolepis
Percina maculata,blackside darter,"DS,DSS,PERC",,"MA<2,SILI",,"BI-T,IN-T",4,4,4,4,4,4,4,4,4,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,maculata
