Version,5/8/2026,"Primary Source - for more information, scroll to bottom of this spreadsheet"
Primary contacts,Jen Stamp (Jen.Stamp@tetratech.com) and Robert Wisseman,
,,
Taxon_Group,"major taxonomic groups - Other Non-Insect, Oligochaeta, Terrestrial, Coleoptera, Diptera, Chironomidae, Ephemeroptera, Heteroptera, Hemiptera, Lepidoptera, Megaloptera, Neuroptera, Odonata, Plecoptera, Trichoptera, Fish",
Taxon,"taxon name from the selected OTU (OTU_MetricCalc, OTU_BCG_ORWA, etc.)",
NonTarget,FALSE = target (ok to include in calculations). TRUE = nontarget (not appropriate to include in any of the calculations).,
LBR_NumSamp,Number of samples taxon occurs in (LBR mainstem dataset),
LBR_SumAbund,Sum of individuals in LBR mainstem dataset,
BCG_attr,"Biological Condition Gradient (BCG) taxa attribute assignments (1i, 1m, 2, 3, 4, 5, 6). 1i = sensitive specialist or regionally endemic; 1m = moderately tolerant specialist or regionally endemic; 2 = highly sensitive; 3 = sensitive ubiquitous; 4 = moderately tolerant; 5 = highly tolerant; 6t = nonnative tolerant","OR WA statewide BCG, informed by taxa tolerance analysis (Index of Watershed Integrity). Robert Wisseman (ABA Associates), Sean Sullivan, Shannon Hubler, Rob Plotnikoff and other members of the ORWA BCG working group. Updated some assignments based on comparison with ID DEQ attributes table."
BCG_attr2,"BCG attribute IV sub-group: 4_better (borderline Attr III/IV), 4_middle (solid Attr IV), 4_worse (borderline Attr IV/V)",
BCG_attr_Roman,roman numeral version of BCG_attr and BCG_attr2,
BURP_TOL,"ID DEQ BURP tolerance value, scaled from 0 (most sensitive) to 10 (most toleranta)",ID DEQ
FFG,"Primary Functional Feeding Group: collector-gatherer (CG), collector-filterer (CF), predator (PR), scraper (SC), shredder (SH), macrophyte herbivore (MH), omnivore (OM), parasite (PA), piercer-herbivore (PH), xylophage (XY). Multiple entries are allowed and are separated with a comma","Merritt, Richard W., Kenneth W. Cummins and Martin B. Berg 2019.An Introduction to the Aquatic Insects of North America, Kendall/Hunt Publishing Company, Dubuque, Iowa 1480 pages."
BURP_FFG,ID DEQ BURP FFG,ID DEQ
Habit,"Habit: burrowers (BU), climbers (CB), clingers (CN), sprawlers (SP), swimmers (SW), skaters (SK). Multiple entries are allowed and are separated with a comma","Merritt, Richard W., Kenneth W. Cummins and Martin B. Berg 2019.An Introduction to the Aquatic Insects of North America, Kendall/Hunt Publishing Company, Dubuque, Iowa 1480 pages."
BURP_HABIT,ID DEQ BURP HABIT,ID DEQ
