Taxon_orig,NonTarget,Rationale,OTU_MTTI,OTU_MetricCalc,OTU_BCG_MariNW,OTU_BSTI,OTU_BCG_ORWA,altOTU_BCG_ORWA_worms
Aaptos,TRUE,Sponges excluded,DNI,DNI,DNI,DNI,DNI,DNI
Ablabesmyia,FALSE,,Ablabesmyia,Ablabesmyia,Ablabesmyia,Ablabesmyia,Ablabesmyia,Ablabesmyia
Acalyptonotus,FALSE,,DNI,Acalyptonotus,Trombidiformes,DNI,Acalyptonotus,Acalyptonotus
Acamptocladius,FALSE,,DNI,Acamptocladius,Acamptocladius,DNI,Acamptocladius,Acamptocladius
Acar,FALSE,,DNI,Acari,Acari,DNI,Acari,Acari
Acari,FALSE,,DNI,Acari,Acari,DNI,Acari,Acari
Acarina,FALSE,,DNI,Acari,Acari,DNI,Acari,Acari
Acentrella,FALSE,,DNI,Acentrella,Acentrella,DNI,Acentrella,Acentrella
Acentrella insignificans,FALSE,,Acentrella insignificans,Acentrella insignificans,Acentrella insignificans,DNI,Acentrella insignificans,Acentrella insignificans
Acentrella insignificans complex,FALSE,,Acentrella insignificans,Acentrella insignificans,Acentrella insignificans,DNI,Acentrella insignificans,Acentrella insignificans
Acentrella turbida,FALSE,,Acentrella turbida,Acentrella turbida,Acentrella turbida,Acentrella turbida,Acentrella turbida,Acentrella turbida
Acerpenna,FALSE,,DNI,Acerpenna,Acerpenna,DNI,Acerpenna,Acerpenna
Acerpenna pygmaea,FALSE,,DNI,Acerpenna pygmaea,Acerpenna pygmaea,DNI,Acerpenna pygmaea,Acerpenna pygmaea
Achaeta,FALSE,,DNI,Achaeta,Oligochaeta,DNI,Oligochaeta,Enchytraeidae
Acilius,FALSE,,DNI,Acilius,Acilius,DNI,Acilius,Acilius
Acilius abbreviatus,FALSE,,DNI,Acilius,Acilius,DNI,Acilius,Acilius
Acneus,FALSE,,Acneus,Acneus,Acneus,Acneus,Acneus,Acneus
Acricotopus,FALSE,,DNI,Acricotopus,Acricotopus,DNI,Acricotopus,Acricotopus
Acroneuria,FALSE,I am skeptical of this ID,DNI,Perlodidae,Perlodidae,DNI,Perlodidae,Perlodidae
Actinopterygii,TRUE,Fish,DNI,DNI,DNI,DNI,DNI,DNI
Aedes,FALSE,,DNI,Culicidae,Culicidae,DNI,Culicidae,Culicidae
Aeshna,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna californica,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna eremita,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna interrupta,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna juncea,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna palmata,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna umbrosa,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna walkeri,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna/Rhionaeschna,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshnidae,FALSE,,Aeshnidae,Aeshnidae,Aeshnidae,DNI,Aeshnidae,Aeshnidae
Afghanurus,FALSE,Whether Afghanurus or Ecdyonurus has priority is in dispute. Until this is resolved we are using Ecdyonurus as recommended by Luke Jacobus at Mayfly Central,Afghanurus,Ecdyonurus,Afghanurus,Afghanurus,Ecdyonurus,Ecdyonurus
Afghanurus criddlei,FALSE,nomenclature,Afghanurus,Ecdyonurus criddlei,Afghanurus criddlei,Afghanurus,Ecdyonurus criddlei,Ecdyonurus criddlei
Agabinae,FALSE,,Agabinae,Agabinae,Agabinae,DNI,Agabinae,Agabinae
Agabinus,FALSE,,Agabinae,Agabinus,Agabinus,DNI,Agabinus,Agabinus
Agabinus glabrellus,FALSE,,Agabinae,Agabinus,Agabinus,DNI,Agabinus,Agabinus
Agabinus sculpturellus,FALSE,,Agabinae,Agabinus,Agabinus,DNI,Agabinus,Agabinus
Agabus,FALSE,,Agabinae,Agabus,Agabus,DNI,Agabus,Agabus
Agabus lutosus,FALSE,,Agabinae,Agabus,Agabus,DNI,Agabus,Agabus
Agabus seriatus group,FALSE,,Agabinae,Agabus,Agabus,DNI,Agabus,Agabus
Agabus/Ilybius/Platambus/Ilybiosoma,FALSE,,Agabinae,Agabinae,Agabinae,DNI,Agabinae,Agabinae
Agapetus,FALSE,,Agapetus,Agapetus,Agapetus,Agapetus,Agapetus,Agapetus
Agathon,FALSE,,Blephariceridae,Agathon,Agathon,Blephariceridae,Agathon,Agathon
Agathon comstocki,FALSE,,Blephariceridae,Agathon,Agathon,Blephariceridae,Agathon,Agathon
Agraylea,FALSE,,Agraylea,Agraylea,Agraylea,DNI,Agraylea,Agraylea
Alaskaperla ovibovis,FALSE,extreme southern range dubius ID,DNI,Chloroperlidae,Chloroperlidae,DNI,Chloroperlidae,Chloroperlidae
Albertathyas,FALSE,monotypic,DNI,Albertathyas montana,Trombidiformes,DNI,Albertathyas montana,Albertathyas montana
Albertathyas montana,FALSE,,DNI,Albertathyas montana,Trombidiformes,DNI,Albertathyas montana,Albertathyas montana
Albia,FALSE,,DNI,Albia,Trombidiformes,DNI,Albia,Albia
Alisotrichia,FALSE,"dubius ID as of 2022 known only from AZ, UT and TX",DNI,Hydroptilidae,Hydroptilidae,DNI,Hydroptilidae,Hydroptilidae
Allocladius,FALSE,,DNI,Allocladius,Allocladius,DNI,Allocladius,Allocladius
Allocosmoecus,FALSE,single species in genus,Allocosmoecus partitus,Allocosmoecus partitus,Allocosmoecus partitus,DNI,Allocosmoecus partitus,Allocosmoecus partitus
Allocosmoecus partitus,FALSE,single species in genus,Allocosmoecus partitus,Allocosmoecus partitus,Allocosmoecus partitus,DNI,Allocosmoecus partitus,Allocosmoecus partitus
Allognosta,FALSE,,Stratiomyidae,Allognosta,Allognosta,DNI,Allognosta,Allognosta
Allomyia,FALSE,,DNI,Allomyia,Allomyia,DNI,Allomyia,Allomyia
Alloperla,FALSE,,DNI,Alloperla,Alloperla,DNI,Alloperla,Alloperla
Alotanypus,FALSE,,Alotanypus,Alotanypus,Alotanypus,DNI,Alotanypus,Alotanypus
Alotanypus/Apsectrotanypus,FALSE,,DNI,Tanypodinae,Tanypodinae,DNI,Tanypodinae,Tanypodinae
Altmanella,FALSE,,Lumbriculidae,Altmanella,Oligochaeta,Lumbriculidae,Oligochaeta,Lumbriculidae
Ambrysus,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,DNI,DNI
Ameletus,FALSE,,Ameletus,Ameletus,Ameletus,Ameletus,Ameletus,Ameletus
Americorophium,FALSE,,DNI,Americorophium,Americorophium,DNI,Americorophium,Americorophium
Americorophium spinicorne,FALSE,,DNI,Americorophium,Americorophium,DNI,Americorophium,Americorophium
Ametor,FALSE,,Hydrophilidae,Ametor,Ametor,Hydrophilidae,Ametor,Ametor
Ametor latus,FALSE,,Hydrophilidae,Ametor,Ametor,Hydrophilidae,Ametor,Ametor
Ametor scabrosus,FALSE,,Hydrophilidae,Ametor,Ametor,Hydrophilidae,Ametor,Ametor
Ametropus,FALSE,,DNI,Ametropus,Ametropus,DNI,Ametropus,Ametropus
Ametropus ammophilus,FALSE,,DNI,Ametropus,Ametropus,DNI,Ametropus,Ametropus
Amiocentrus,FALSE,backed off due to COI data,Amiocentrus,Amiocentrus,Amiocentrus,Amiocentrus,Amiocentrus,Amiocentrus
Amiocentrus aspilus,FALSE,backed off due to COI data,Amiocentrus,Amiocentrus,Amiocentrus,Amiocentrus,Amiocentrus,Amiocentrus
Amphiagrion,FALSE,,Coenagrionidae,Coenagrionidae,Coenagrionidae,DNI,Coenagrionidae,Coenagrionidae
Amphiagrion abbreviatum,FALSE,,Coenagrionidae,Coenagrionidae,Coenagrionidae,DNI,Coenagrionidae,Coenagrionidae
Amphibia,TRUE,Fish,DNI,DNI,DNI,DNI,DNI,DNI
Amphicosmoecus,FALSE,single species in genus,DNI,Amphicosmoecus canax,Amphicosmoecus,DNI,Amphicosmoecus canax,Amphicosmoecus canax
Amphicosmoecus canax,FALSE,single species in genus,DNI,Amphicosmoecus canax,Amphicosmoecus,DNI,Amphicosmoecus canax,Amphicosmoecus canax
Amphinemura,FALSE,,Malenka,Malenka,Malenka,Malenka,Malenka,Malenka
Amphinemura/Malenka,FALSE,,Malenka,Malenka,Malenka,Malenka,Malenka,Malenka
Amphipoda,FALSE,,DNI,Amphipoda,Amphipoda,DNI,Amphipoda,Amphipoda
Amphizoa,FALSE,,DNI,Amphizoa,Amphizoa,DNI,Amphizoa,Amphizoa
Amphizoa insolens,FALSE,,DNI,Amphizoa,Amphizoa,DNI,Amphizoa,Amphizoa
Amphizoa lecontei,FALSE,,DNI,Amphizoa,Amphizoa,DNI,Amphizoa,Amphizoa
Amphizoidae,FALSE,,DNI,Amphizoa,Amphizoa,DNI,Amphizoa,Amphizoa
Ampumixis,FALSE,only one species in Genus,Ampumixis dispar,Ampumixis dispar,Ampumixis,Ampumixis dispar,Ampumixis dispar,Ampumixis dispar
Ampumixis dispar,FALSE,only one species in Genus,Ampumixis dispar,Ampumixis dispar,Ampumixis,Ampumixis dispar,Ampumixis dispar,Ampumixis dispar
Anacaena,FALSE,,Hydrophilidae,Anacaena,Anacaena,Hydrophilidae,Anacaena,Anacaena
Anafroptilum,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Anafroptilum/Neocloeon,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Anafroptilum/Neocloeon/Procloeon,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Anafroptilum/Procloeon,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Anagapetus,FALSE,,Anagapetus,Anagapetus,Anagapetus,Anagapetus,Anagapetus,Anagapetus
Anax,FALSE,,Aeshnidae,Anax,Anax,DNI,Anax,Anax
Anax junius,FALSE,,Aeshnidae,Anax,Anax,DNI,Anax,Anax
Anchycteis,FALSE,,DNI,Ptilodactylidae,Ptilodactylidae,DNI,Ptilodactylidae,Ptilodactylidae
Anchycteis velutina,FALSE,,DNI,Ptilodactylidae,Ptilodactylidae,DNI,Ptilodactylidae,Ptilodactylidae
Ancylidae,FALSE,,DNI,Planorbidae,Ancylidae,DNI,Planorbidae,Planorbidae
Ancylinae,FALSE,,DNI,Planorbidae,Ancylidae,DNI,Planorbidae,Planorbidae
Anericorophium,FALSE,,DNI,Americorophium,Americorophium,DNI,Americorophium,Americorophium
Anisogammaridae,FALSE,,Anisogammaridae,Anisogammaridae,Anisogammaridae,DNI,Anisogammaridae,Anisogammaridae
Anisogammarus,FALSE,,Anisogammaridae,Anisogammaridae,Anisogammaridae,DNI,Anisogammaridae,Anisogammaridae
Anisoptera,FALSE,,DNI,Anisoptera,Anisoptera,DNI,Anisoptera,Anisoptera
Annelida,TRUE,TOO COARSE,DNI,DNI,DNI,DNI,DNI,DNI
Anodonta,FALSE,,DNI,Anodonta,Anodonta,DNI,Anodonta,Anodonta
Anodonta oregonsis,FALSE,,DNI,Anodonta,Anodonta,DNI,Anodonta,Anodonta
Anopheles,FALSE,,DNI,Anopheles,Anopheles,DNI,Anopheles,Anopheles
Anostraca,TRUE,fairy shrimp,DNI,DNI,DNI,DNI,DNI,DNI
Antillocladius,FALSE,,DNI,Orthocladiinae,Orthocladiinae,DNI,Orthocladiinae,Orthocladiinae
Antocha,FALSE,,Antocha,Antocha,Antocha,Antocha,Antocha,Antocha
Antocha monticola,FALSE,,Antocha,Antocha,Antocha,Antocha,Antocha,Antocha
Anura,TRUE,Fish,DNI,DNI,DNI,DNI,DNI,DNI
Apatania,FALSE,,Apatania,Apatania,Apatania,Apatania,Apatania,Apatania
Apatania sorex,FALSE,,Apatania,Apatania,Apatania,Apatania,Apatania,Apatania
Apataniidae,FALSE,,DNI,Apataniidae,Apataniidae,DNI,Apataniidae,Apataniidae
Apedilum,FALSE,,Apedilum,Apedilum,Apedilum,DNI,Apedilum,Apedilum
