orig_FinalID_NE,OTU_BCG_NE,modified_BCG,Notes,OTU_bcgTaxaTolAnal
Bittacomorpha,Bittacomorpha,FALSE,,BITTACOMORPHA
Boreonectes,Boreonectes,FALSE,,BOREONECTES
Boyeria,Boyeria,FALSE,,BOYERIA
Brachycentridae,Brachycentridae,FALSE,,BRACHYCENTRIDAE
Brachycentridae occidentalis,Brachycentridae occidentalis,FALSE,,BRACHYCENTRIDAE OCCIDENTALIS
Brachycentrus,Brachycentrus,FALSE,,BRACHYCENTRUS
Brachycentrus numerosus,Brachycentrus numerosus,FALSE,,BRACHYCENTRUS NUMEROSUS
Brachycentrus occidentalis,Brachycentrus occidentalis,FALSE,,BRACHYCENTRUS OCCIDENTALIS
Brachycercinae,Brachycercinae,FALSE,,BRACHYCERCINAE
Brachycercus,Brachycercus,FALSE,,BRACHYCERCUS
Branchiobdellida,Branchiobdellida,FALSE,,BRANCHIOBDELLIDA
Branchiobdellidae,Branchiobdellidae,FALSE,,BRANCHIOBDELLIDA
Branchiura sowerbyi,Branchiura sowerbyi,FALSE,,BRANCHIURA SOWERBYI
Bratislavia,Bratislavia,FALSE,,BRATISLAVIA
Brillia,Brillia,FALSE,,BRILLIA
Brundiniella,Brundiniella,FALSE,,BRUNDINIELLA
Brychius,Brychius,FALSE,,BRYCHIUS
Caecidotea,Caecidotea,FALSE,,CAECIDOTEA
Caecidotea intermedia,Caecidotea intermedia,FALSE,,CAECIDOTEA INTERMEDIA
Caenidae,Caenidae,FALSE,,CAENIDAE
Caenis,Caenis,FALSE,,CAENIS
Callibaetis,Callibaetis,FALSE,,CALLIBAETIS
Callicorixa,Callicorixa,FALSE,,CALLICORIXA
Caloparyphus,Caloparyphus,FALSE,,CALOPARYPHUS
Calopterygidae,Calopterygidae,FALSE,,CALOPTERYGIDAE
Calopteryx,Calopteryx,FALSE,,CALOPTERYX
Cambaridae,Cambaridae,FALSE,,CAMBARIDAE
Cambarincola,Cambarincola,FALSE,,CAMBARINCOLA
Cambarus,Cambarus,FALSE,,CAMBARUS
Camelobaetidius,Camelobaetidius,FALSE,,CAMELOBAETIDIUS
Campeloma,Campeloma,FALSE,,CAMPELOMA
Carabidae,Carabidae,FALSE,,CARABIDAE
Cardiocladius,Cardiocladius,FALSE,,CARDIOCLADIUS
Cardiocladius obscurus,Cardiocladius obscurus,FALSE,,
Celithemis,Celithemis,FALSE,,CELITHEMIS
Celithemis elisa,Celithemis elisa,FALSE,,
Centroptilum,Centroptilum,FALSE,,CENTROPTILUM
Ceraclea,Ceraclea,FALSE,,CERACLEA
Ceratopogon,Ceratopogon,FALSE,,CERATOPOGON
Ceratopogonidae,Ceratopogonidae,FALSE,,CERATOPOGONIDAE
Ceratopogoninae,Ceratopogoninae,FALSE,,CERATOPOGONINAE
Ceratopsyche,Ceratopsyche,FALSE,,CERATOPSYCHE
Ceratopsyche bronta,Ceratopsyche bronta,FALSE,,CERATOPSYCHE BRONTA
Ceratopsyche morosa,Ceratopsyche morosa,FALSE,,CERATOPSYCHE MOROSA
Ceratopsyche morosa bifida,Ceratopsyche morosa bifida,FALSE,,CERATOPSYCHE MOROSA BIFIDA
Ceratopsyche slossonae,Ceratopsyche slossonae,FALSE,,CERATOPSYCHE SLOSSONAE
Ceratopsyche sparna,Ceratopsyche sparna,FALSE,,CERATOPSYCHE SPARNA
Cercobrachys,Cercobrachys,FALSE,,CERCOBRACHYS
Cercyon,Cercyon,FALSE,,
Chaetarthria,Chaetarthria,FALSE,,CHAETARTHRIA
Chaetocladius,Chaetocladius,FALSE,,CHAETOCLADIUS
Chaetogaster,Chaetogaster,FALSE,,CHAETOGASTER
Chaetogaster diaphanus,Chaetogaster diaphanus,FALSE,,CHAETOGASTER DIAPHANUS
Chaetogaster diastrophus,Chaetogaster diastrophus,FALSE,,
Chaoborus,Chaoborus,FALSE,,CHAOBORUS
Chaoborus punctipennis,Chaoborus punctipennis,FALSE,,CHAOBORUS PUNCTIPENNIS
Chauliodes,Chauliodes,FALSE,,CHAULIODES
Chauliodes rastricornis,Chauliodes rastricornis,FALSE,,CHAULIODES RASTRICORNIS
Chelifera,Chelifera,FALSE,,CHELIFERA
Chernovskiia,Chernovskiia,FALSE,,CHERNOVSKIIA
Chernovskiia amphitrite,Chernovskiia amphitrite,FALSE,,
Chernovskiia orbicus,Chernovskiia orbicus,FALSE,,
Cheumatopsyche,Cheumatopsyche,FALSE,,CHEUMATOPSYCHE
Chimarra,Chimarra,FALSE,,CHIMARRA
Chioneinae,Chioneinae,FALSE,,
Chironomidae,Chironomidae,FALSE,,CHIRONOMIDAE
Chironomini,Chironomini,FALSE,,CHIRONOMINI
Chironomus,Chironomus,FALSE,,CHIRONOMUS
Chloroperlidae,Chloroperlidae,FALSE,,CHLOROPERLIDAE
Choroterpes,Choroterpes,FALSE,,CHOROTERPES
Chromagrion conditum,Chromagrion conditum,FALSE,,CHROMAGRION CONDITUM
Chrysomelidae,Chrysomelidae,FALSE,,CHRYSOMELIDAE
Chrysops,Chrysops,FALSE,,CHRYSOPS
Cladocera,Cladocera,FALSE,,CLADOCERA
Cladopelma,Cladopelma,FALSE,,CLADOPELMA
Cladotanytarsus,Cladotanytarsus,FALSE,,CLADOTANYTARSUS
Clathrosperchon,Clathrosperchon,FALSE,,CLATHROSPERCHON
Clinocera,Clinocera,FALSE,,CLINOCERA
Clinotanypus,Clinotanypus,FALSE,,CLINOTANYPUS
Cloeon,Cloeon,FALSE,,CLOEON
Coelotanypus,Coelotanypus,FALSE,,COELOTANYPUS
Coenagrion,Coenagrion,FALSE,,COENAGRION
Coenagrionidae,Coenagrionidae,FALSE,,COENAGRIONIDAE
Coleoptera,Coleoptera,FALSE,,COLEOPTERA
Collembola,Collembola,FALSE,,COLLEMBOLA
Colymbetes,Colymbetes,FALSE,,COLYMBETES
Conchapelopia,Conchapelopia,FALSE,,CONCHAPELOPIA
Constempellina,Constempellina,FALSE,,CONSTEMPELLINA
Copelatus,Copelatus,FALSE,,COPELATUS
Copepoda,Copepoda,FALSE,,COPEPODA
Coptotomus,Coptotomus,FALSE,,COPTOTOMUS
Corbicula fluminea,Corbicula fluminea,FALSE,,CORBICULA FLUMINEA
Cordulia,Cordulia,FALSE,,
Corduliidae,Corduliidae,FALSE,,CORDULIIDAE
Cordylophora lacustris,Cordylophora lacustris,FALSE,,CORDYLOPHORA LACUSTRIS
Corisella,Corisella,FALSE,,CORISELLA
Corixidae,Corixidae,FALSE,,CORIXIDAE
Corydalidae,Corydalidae,FALSE,,CORYDALIDAE
Corydalus,Corydalus,FALSE,,CORYDALUS
Corydalus cornutus,Corydalus cornutus,FALSE,,CORYDALUS CORNUTUS
Corynoneura,Corynoneura,FALSE,,CORYNONEURA
Crambidae,Crambidae,FALSE,,CRAMBIDAE
Crangonyx,Crangonyx,FALSE,,CRANGONYX
Crangonyx gracilis,Crangonyx gracilis,FALSE,,
Cricotopus,Cricotopus,FALSE,,CRICOTOPUS
Cricotopus (Cricotopus),Cricotopus (Cricotopus),FALSE,,CRICOTOPUS (CRICOTOPUS)
Cricotopus (Isocladius),Cricotopus (Isocladius),FALSE,,CRICOTOPUS (ISOCLADIUS)
Cricotopus / Orthocladius,Cricotopus/Orthocladius,TRUE,formatting (spaces),CRICOTOPUS/ORTHOCLADIUS
Cricotopus bicinctus,Cricotopus bicinctus,FALSE,,CRICOTOPUS BICINCTUS GROUP
Cricotopus cylindraceus,Cricotopus cylindraceus,FALSE,,
Cricotopus fuscus,Cricotopus fuscus,FALSE,,
Cricotopus intersectus,Cricotopus intersectus,FALSE,,
Cricotopus laricomalis,Cricotopus laricomalis,FALSE,,
Cricotopus sylvestris,Cricotopus Sylvestris Group,TRUE,CAPS and group,CRICOTOPUS SYLVESTRIS GROUP
Cricotopus Sylvestris Gr.,Cricotopus Sylvestris Group,TRUE,CAPS and group,
Cricotopus tibialis,Cricotopus tibialis,FALSE,,
Cricotopus tremulus,Cricotopus Tremulus Group,TRUE,CAPS and group,CRICOTOPUS TREMULUS GROUP
Cricotopus Tremulus Gr.,Cricotopus Tremulus Group,TRUE,CAPS and group,CRICOTOPUS TREMULUS GROUP
Cricotopus triannulatus,Cricotopus triannulatus,FALSE,,
Cricotopus tricinctus,Cricotopus tricinctus,FALSE,,
Cricotopus trifascia,Cricotopus trifascia,FALSE,,CRICOTOPUS TRIFASCIA GROUP
Cricotopus trifasciatus,Cricotopus trifasciatus,FALSE,,CRICOTOPUS TRIFASCIA GROUP
Cricotopus vierriensis,Cricotopus vierriensis,FALSE,,CRICOTOPUS VIERRIENSIS
Cryphocricos,Cryphocricos,FALSE,,
Cryptochironomus,Cryptochironomus,FALSE,,CRYPTOCHIRONOMUS
Cryptochironomus fulvus,Cryptochironomus fulvus,FALSE,,CRYPTOCHIRONOMUS FULVUS
Cryptotendipes,Cryptotendipes,FALSE,,CRYPTOTENDIPES
Culex,Culex,FALSE,,CULEX
Culex pipiens,Culex pipiens,FALSE,,
Culex quinquefasciatus,Culex quinquefasciatus,FALSE,,
Culex restuans,Culex restuans,FALSE,,
Culex salinarius,Culex salinarius,FALSE,,
Culex tarsalis,Culex tarsalis,FALSE,,
Culicidae,Culicidae,FALSE,,CULICIDAE
Culicoides,Culicoides,FALSE,,CULICOIDES
Culoptila,Culoptila,FALSE,,CULOPTILA
Cura foremanii,Cura foremanii,FALSE,,CURA FOREMANII
Curculionidae,Curculionidae,FALSE,,CURCULIONIDAE
Cybister,Cybister,FALSE,,CYBISTER
Cymbiodyta,Cymbiodyta,FALSE,,CYMBIODYTA
Cymbiodyta toddi,Cymbiodyta toddi,FALSE,,CYMBIODYTA TODDI
Cyphomella,Cyphomella,FALSE,,CYPHOMELLA
Cyphon,Cyphon,FALSE,,CYPHON
Cyrnellus,Cyrnellus,FALSE,,CYRNELLUS
Cyrnellus fraternus,Cyrnellus fraternus,FALSE,,CYRNELLUS FRATERNUS
Dactylobaetis,Dactylobaetis,FALSE,,DACTYLOBAETIS
Dannella,Dannella,FALSE,,DANNELLA
Dashyeleinae,Dasyheleinae,TRUE,misspelling,DASYHELEINAE
Dasyhelea,Dasyhelea,FALSE,,DASYHELEA
Dasyheleinae,Dasyheleinae,FALSE,,DASYHELEINAE
Decapoda,Decapoda,FALSE,,DECAPODA
Demicryptochironomus,Demicryptochironomus,FALSE,,DEMICRYPTOCHIRONOMUS
Dero,Dero,FALSE,,DERO
Dero digitata,Dero digitata,FALSE,,DERO DIGITATA
Dero dorsalis,Dero dorsalis,FALSE,,
Dero furcata,Dero furcata,FALSE,,DERO FURCATA
Dero lodeni,Dero lodeni,FALSE,,DERO LODENI
Dero nivea,Dero nivea,FALSE,,DERO NIVEA
Dero vaga,Dero vaga,FALSE,,DERO VAGA
Deronectes,Deronectes,FALSE,,DERONECTES
Desmopachria,Desmopachria,FALSE,,DESMOPACHRIA
Desserobdella picta,Desserobdella picta,FALSE,,DESSEROBDELLA PICTA
Diamesa,Diamesa,FALSE,,DIAMESA
Dibolocelus,Dibolocelus,FALSE,,
Dicranomyia,Dicranomyia,FALSE,tricky Tipulidae taxonomy. Left as is for now,DICRANOMYIA
Dicranota,Dicranota,FALSE,,DICRANOTA
Dicrotendipes,Dicrotendipes,FALSE,,DICROTENDIPES
Dicrotendipes neomodestus,Dicrotendipes neomodestus,FALSE,,DICROTENDIPES NEOMODESTUS
Dictya,Dictya,FALSE,,DICTYA
Didymops,Didymops,FALSE,,DIDYMOPS
Didymops transversa,Didymops transversa,FALSE,,DIDYMOPS TRANSVERSA
Dina,Dina,FALSE,,DINA
Dineutus,Dineutus,FALSE,,DINEUTUS
Diplectrona,Diplectrona,FALSE,,DIPLECTRONA
Diplocladius,Diplocladius,FALSE,,DIPLOCLADIUS
Diplocladius cultriger,Diplocladius cultriger,FALSE,,DIPLOCLADIUS CULTRIGER
Diptera,Diptera,FALSE,,DIPTERA
Disonycha,Disonycha,FALSE,terrestrial?,EXCLUDE
Dixa,Dixa,FALSE,,DIXA
Dixella,Dixella,FALSE,,DIXELLA
Dixidae,Dixidae,FALSE,,DIXIDAE
Dolichopodidae,Dolichopodidae,FALSE,,DOLICHOPODIDAE
Dromogomphus,Dromogomphus,FALSE,,DROMOGOMPHUS
Dryopidae,Dryopidae,FALSE,,DRYOPIDAE
Dubiraphia,Dubiraphia,FALSE,,DUBIRAPHIA
Dubiraphia vittata,Dubiraphia vittata,FALSE,,DUBIRAPHIA VITTATA
Dugesia,Dugesia,FALSE,,DUGESIA
Dugesia tigrina,Dugesia tigrina,FALSE,,DUGESIA TIGRINA
Dytiscidae,Dytiscidae,FALSE,,DYTISCIDAE
Dytiscus,Dytiscus,FALSE,,DYTISCUS
Eccoptura,Eccoptura,FALSE,,ECCOPTURA
Ecdyonurinae,Ecdyonurinae,FALSE,,
Einfeldia,Einfeldia,FALSE,,EINFELDIA
Elliptio dilatata,Elliptio dilatata,FALSE,,ELLIPTIO DILATATA
Elmidae,Elmidae,FALSE,,ELMIDAE
Elodes,Elodes,FALSE,,ELODES
Empididae,Empididae,FALSE,,EMPIDIDAE
Enallagma,Enallagma,FALSE,,ENALLAGMA
Enallagma praevarum,Enallagma praevarum,FALSE,,
Enchytraeidae,Enchytraeidae,FALSE,,ENCHYTRAEIDAE
Enchytraeus,Enchytraeus,FALSE,,ENCHYTRAEUS
Endochironomus,Endochironomus,FALSE,,ENDOCHIRONOMUS
Enochrus,Enochrus,FALSE,,ENOCHRUS
Epeorus,Epeorus,FALSE,,EPEORUS
Ephemera,Ephemera,FALSE,,EPHEMERA
Ephemerella,Ephemerella,FALSE,,EPHEMERELLA
Ephemerella excrucians,Ephemerella Excrucians Group,TRUE,CAPS and group,EPHEMERELLA EXCRUCIANS
Ephemerella Excrucians Gr.,Ephemerella Excrucians Group,TRUE,CAPS and group,
Ephemeroptera,Ephemeroptera,FALSE,,EPHEMEROPTERA
Ephoron,Ephoron,FALSE,,EPHORON
Ephoron album,Ephoron album,FALSE,,EPHORON ALBUM
Ephoron leukon,Ephoron leukon,FALSE,,EPHORON LEUKON
Ephydra,Ephydra,FALSE,,EPHYDRA
Ephydridae,Ephydridae,FALSE,,EPHYDRIDAE
Epitheca,Epitheca,FALSE,,EPITHECA
Epitheca princeps,Epitheca princeps,FALSE,,EPITHECA PRINCEPS
Epoicocladius,Epoicocladius,FALSE,,EPOICOCLADIUS
Erioptera,Erioptera,FALSE,,ERIOPTERA
Eristalis,Eristalis,FALSE,,ERISTALIS
Erpetogomphus,Erpetogomphus,FALSE,,ERPETOGOMPHUS
Erpobdella,Erpobdella,FALSE,,ERPOBDELLA
Erpobdella microstoma,Erpobdella microstoma,FALSE,,ERPOBDELLA MICROSTOMA
Erpobdella punctata,Erpobdella punctata,FALSE,,ERPOBDELLA PUNCTATA
Erpobdellidae,Erpobdellidae,FALSE,,ERPOBDELLIDAE
Erythemis,Erythemis,FALSE,,ERYTHEMIS
Eukiefferiella,Eukiefferiella,FALSE,,EUKIEFFERIELLA
Eukiefferiella claripennis,Eukiefferiella claripennis,FALSE,,
Euparyphus,Euparyphus,FALSE,,EUPARYPHUS
Fallceon,Fallceon,FALSE,,FALLCEON
Fallceon quilleri,Fallceon quilleri,FALSE,,FALLCEON QUILLERI
Faxonius,Faxonius,FALSE,,FAXONIUS
Ferrissia,Ferrissia,FALSE,,FERRISSIA
Ferrissia rivularis,Ferrissia rivularis,FALSE,,FERRISSIA RIVULARIS
Forcipomyia,Forcipomyia,FALSE,,FORCIPOMYIA
Forcipomyiinae,Forcipomyiinae,FALSE,,FORCIPOMYIINAE
Fossaria,Fossaria,FALSE,,FOSSARIA
Fossaria bulimoides,Fossaria bulimoides,FALSE,,FOSSARIA BULIMOIDES
Fossaria humilis,Fossaria humilis,FALSE,,
Fossaria obrussa,Fossaria obrussa,FALSE,,
Fredericella sultana,Fredericella sultana,FALSE,,
Fridericia,Fridericia,FALSE,,FRIDERICIA
Fusconaia flava,Fusconaia flava,FALSE,,FUSCONAIA FLAVA
Galba,Galba,FALSE,,GALBA
Galerucella,Galerucella,FALSE,,GALERUCELLA
Gammaridae,Gammaridae,FALSE,,GAMMARIDAE
Gammarus,Gammarus,FALSE,,GAMMARUS
Gammarus lacustris,Gammarus lacustris,FALSE,,GAMMARUS LACUSTRIS
Gastropoda,Gastropoda,FALSE,,GASTROPODA
Gelastocoridae,Gelastocoridae,FALSE,,GELASTOCORIDAE
Gerridae,Gerridae,FALSE,,GERRIDAE
Gerris,Gerris,FALSE,,GERRIS
Gillotia,Gillotia,FALSE,,GILLOTIA
Glossiphonia,Glossiphonia,FALSE,,GLOSSIPHONIA
Glossiphonia complanata,Glossiphonia complanata,FALSE,,GLOSSIPHONIA COMPLANATA
Glossiphonia elegans,Glossiphonia elegans,FALSE,,GLOSSIPHONIA ELEGANS
Glossiphoniidae,Glossiphoniidae,FALSE,,GLOSSIPHONIIDAE
Glossosoma,Glossosoma,FALSE,,GLOSSOSOMA
Glyptotendipes,Glyptotendipes,FALSE,,GLYPTOTENDIPES
Goeldichironomus,Goeldichironomus,FALSE,,GOELDICHIRONOMUS
Gomphidae,Gomphidae,FALSE,,GOMPHIDAE
Gomphurus,Gomphurus,FALSE,,
Gomphus,Gomphus,FALSE,,GOMPHUS
Gonomyia,Gonomyia,FALSE,,GONOMYIA
Gordiidae,Gordiidae,FALSE,,GORDIIDAE
Gordius,Gordius,FALSE,,GORDIUS
Graphoderus,Graphoderus,FALSE,,GRAPHODERUS
Gymnochthebius,Gymnochthebius,FALSE,,GYMNOCHTHEBIUS
Gyraulus,Gyraulus,FALSE,,GYRAULUS
Gyraulus parvus,Gyraulus parvus,FALSE,,GYRAULUS PARVUS
Gyrinidae,Gyrinidae,FALSE,,GYRINIDAE
Gyrinus,Gyrinus,FALSE,,GYRINUS
Haemonais waldvogeli,Haemonais waldvogeli,FALSE,,HAEMONAIS WALDVOGELI
Haemopis,Haemopis,FALSE,,HAEMOPIS
Haliplidae,Haliplidae,FALSE,,HALIPLIDAE
Haliplus,Haliplus,FALSE,,HALIPLUS
Halocladius,Halocladius,FALSE,,
Harnischia,Harnischia,FALSE,,HARNISCHIA
Heleniella,Heleniella,FALSE,,HELENIELLA
Helichus,Helichus,FALSE,,HELICHUS
Helicopsyche,Helicopsyche,FALSE,,HELICOPSYCHE
Helicopsyche borealis,Helicopsyche borealis,FALSE,,HELICOPSYCHE BOREALIS
Helisoma,Helisoma,FALSE,,HELISOMA
Helisoma anceps,Helisoma anceps,FALSE,,HELISOMA ANCEPS
Helisoma trivolvis,Helisoma trivolvis,FALSE,,HELISOMA TRIVOLVIS
Helius,Helius,FALSE,,HELIUS
Helobata,Helobata,FALSE,,HELOBATA
Helobdella,Helobdella,FALSE,,HELOBDELLA
Helobdella elongata,Helobdella elongata,FALSE,,HELOBDELLA ELONGATA
Helobdella fusca,Helobdella fusca,FALSE,,HELOBDELLA FUSCA
Helobdella papillata,Helobdella papillata,FALSE,,HELOBDELLA PAPILLATA
Helobdella stagnalis,Helobdella stagnalis,FALSE,,HELOBDELLA STAGNALIS
Helobdella triserialis,Helobdella triserialis,FALSE,,HELOBDELLA TRISERIALIS
Helochares,Helochares,FALSE,,HELOCHARES
Helophorus,Helophorus,FALSE,,HELOPHORUS
Hemerodromia,Hemerodromia,FALSE,,HEMERODROMIA
Hemiptera,Hemiptera,FALSE,,HEMIPTERA
Henlea,Henlea,FALSE,,HENLEA
Heptagenia,Heptagenia,FALSE,,HEPTAGENIA
Heptagenia diabasia,Heptagenia diabasia,FALSE,,HEPTAGENIA DIABASIA
Heptagenia flavescens,Heptagenia flavescens,FALSE,,HEPTAGENIA FLAVESCENS
Heptagenia marginalis,Heptagenia marginalis,FALSE,,HEPTAGENIA MARGINALIS
Heptageniidae,Heptageniidae,FALSE,,HEPTAGENIIDAE
Hesperocorixa,Hesperocorixa,FALSE,,HESPEROCORIXA
Hesperophylax,Hesperophylax,FALSE,,HESPEROPHYLAX
Hetaerina,Hetaerina,FALSE,,HETAERINA
Hetaerina americana,Hetaerina americana,FALSE,,HETAERINA AMERICANA
Heterelmis,Heterelmis,FALSE,,HETERELMIS
Heterocloeon,Heterocloeon,FALSE,,HETEROCLOEON
Heteroptera,Heteroptera,FALSE,,HETEROPTERA
Heterosternuta,Heterosternuta,FALSE,,HETEROSTERNUTA
Heterotrissocladius,Heterotrissocladius,FALSE,,HETEROTRISSOCLADIUS
Hexagenia,Hexagenia,FALSE,,HEXAGENIA
Hexagenia atrocaudata,Hexagenia atrocaudata,FALSE,,HEXAGENIA ATROCAUDATA
Hexagenia limbata,Hexagenia limbata,FALSE,,HEXAGENIA LIMBATA
Hexatoma,Hexatoma,FALSE,,HEXATOMA
Hirudinea,Hirudinea,FALSE,,HIRUDINEA
Hirudinidae,Hirudinidae,FALSE,,HIRUDINIDAE
Homoeoneuria,Homoeoneuria,FALSE,,HOMOEONEURIA
Homoeoneuria ammophila,Homoeoneuria ammophila,FALSE,,HOMOEONEURIA AMMOPHILA
Homophylax,Homophylax,FALSE,,HOMOPHYLAX
Hyalella,Hyalella,FALSE,,HYALELLA
Hyalella azteca,Hyalella azteca,FALSE,,HYALELLA AZTECA
Hydaticus,Hydaticus,FALSE,,HYDATICUS
Hydatophylax,Hydatophylax,FALSE,,HYDATOPHYLAX
Hydra,Hydra,FALSE,,HYDRA
Hydrachna,Hydrachna,FALSE,,HYDRACHNA
Hydraenidae,Hydraenidae,FALSE,,HYDRAENIDAE
