TaxaID,Rank,NonTarget,BCG_Attr,BCG_Attr2,FFG,HABIT,HABSTRUCT,HABSTRUCT_Full,LIFE_CYCLE,AirBreather,TOLVAL_IA,FFG_IA,FFGDef_IA,HABIT_IA,HabitDef_IA,COLD_IA,ColdWaterIndicatorTaxa,PHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,SUBFAMILY,GENUS,SPECIES,CommonName,IA_BugTaxaID
LEPTOPHLEBIA CUPIDA,Species,FALSE,4,4_better,CG,SW,,,uni,FALSE,4,CG,Collector/Gatherer,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,LEPTOPHLEBIIDAE,,LEPTOPHLEBIA,CUPIDA,Pronggilled Mayflies,753
LEPTOPHLEBIA INTERMEDIA,Species,FALSE,4,4_better,CG,SW,,,uni,FALSE,4,CG,Collector/Gatherer,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,LEPTOPHLEBIIDAE,,LEPTOPHLEBIA,INTERMEDIA,Pronggilled Mayflies,1080
LEPTOPHLEBIIDAE,Family,FALSE,4,4_better,CG,"SW,CN,SP",,,uni,FALSE,2.9,CG/SC,Collector/Scraper,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,LEPTOPHLEBIIDAE,,,,Pronggilled Mayflies,286
LESTES,Genus,FALSE,4,4_middle,PR,CB,,,uni,FALSE,9,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,ODONATA,LESTIDAE,,LESTES,,Spreadwinged Damselflies,736
LESTES DISJUNCTUS/RECTANGULARIS,Species,FALSE,4,4_middle,PR,CB,,,uni,FALSE,9,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,ODONATA,LESTIDAE,,LESTES,DISJUNCTUS/RECTANGULARIS,Spreadwinged Damselflies,805
LESTIDAE,Family,FALSE,,,PR,CB,,,uni,FALSE,9,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,ODONATA,LESTIDAE,,,,Spreadwinged Damselflies,735
LETHOCERUS,Genus,FALSE,,,PR,"SW,CB",,,multi,FALSE,4.6,PR,Predator,sw,Swimmer,0,FALSE,ARTHROPODA,INSECTA,,HEMIPTERA,BELOSTOMATIDAE,,LETHOCERUS,,Giant Water Bugs,302
LETHOCERUS AMERICANUS,Species,FALSE,,,PR,"SW,CB",,,multi,FALSE,4.6,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,HEMIPTERA,BELOSTOMATIDAE,,LETHOCERUS,AMERICANUS,Giant Water Bugs,968
LEUCORRHINIA,Genus,FALSE,,,PR,"CB,SP",,,uni,FALSE,9,PR,Predator,CB,Climber,0,FALSE,ARTHROPODA,INSECTA,,ODONATA,LIBELLULIDAE,,LEUCORRHINIA,,Skimmer Dragonflies,1099
LEUCROCUTA,Genus,FALSE,3,,SC,CN,,,uni,FALSE,1,SC,Scraper,cn,Clinger,0,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,LEUCROCUTA,,Flatheaded Mayflies,265
LEUCROCUTA HEBE,Species,FALSE,3,,SC,CN,,,uni,FALSE,1,SC,Scraper,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,LEUCROCUTA,HEBE,Flatheaded Mayflies,266
LEUCROCUTA MACULIPENNIS,Species,FALSE,3,,SC,CN,,,uni,FALSE,1,SC,Scraper,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,LEUCROCUTA,MACULIPENNIS,Flatheaded Mayflies,633
LIBELLULA,Genus,FALSE,4,4_middle,PR,SP,,,uni,FALSE,9,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,ODONATA,LIBELLULIDAE,,LIBELLULA,,Skimmer Dragonflies,389
LIBELLULA LUCTUOSA,Species,FALSE,4,4_middle,PR,SP,,,uni,FALSE,9,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,ODONATA,LIBELLULIDAE,,LIBELLULA,LUCTUOSA,Skimmer Dragonflies,390
LIBELLULA PULCHELLA,Species,FALSE,4,4_middle,PR,SP,,,uni,FALSE,9,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,ODONATA,LIBELLULIDAE,,LIBELLULA,PULCHELLA,Skimmer Dragonflies,391
LIBELLULIDAE,Family,FALSE,4,4_middle,PR,SP,,,uni,FALSE,8.3,PR,Predator,sp,Sprawler,0,FALSE,ARTHROPODA,INSECTA,,ODONATA,LIBELLULIDAE,,,,Skimmer Dragonflies,386
LIGUMIA RECTA,Species,FALSE,,,CF,BU,,,NA,FALSE,,CF,Filterer,UN,Unidentified,0,FALSE,MOLLUSCA,BIVALVIA,PALAEOHETERODONTA,UNIONOIDA,UNIONIDAE,,LIGUMIA,RECTA,Mussels,1047
LIMNEPHILIDAE,Family,FALSE,4,4_middle,SH,CB,,,uni,FALSE,3.6,UN,Unidentified,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LIMNEPHILIDAE,,,,Northern Case Maker Caddisflies,463
LIMNEPHILUS,Genus,FALSE,4,4_middle,SH,"SP,CB",,,uni,FALSE,3,SH,Shredder,SP,Sprawler,-1,TRUE,ARTHROPODA,INSECTA,,TRICHOPTERA,LIMNEPHILIDAE,,LIMNEPHILUS,,Northern Case Maker Caddisflies,468
LIMNOPHILA,Genus,FALSE,4,4_middle,PR,BU,,,uni,FALSE,3,PR,Predator,BU,Burrower,0,FALSE,ARTHROPODA,INSECTA,,DIPTERA,TIPULIDAE,,LIMNOPHILA,,Crane Flies,1103
LIMNOPHORA,Genus,FALSE,4,4_middle,PR,BU,,,multi,FALSE,6,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,DIPTERA,MUSCIDAE,,LIMNOPHORA,,"Face Flies, Horn Flies, House Flies",737
LIMNOPORUS,Genus,FALSE,,,PR,SK,,,uni,FALSE,6.4,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,HEMIPTERA,GERRIDAE,,LIMNOPORUS,,Water Striders,564
LIMNOPORUS DISSORTIS,Species,FALSE,,,PR,SK,,,uni,FALSE,6.4,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,HEMIPTERA,GERRIDAE,,LIMNOPORUS,DISSORTIS,Water Striders,716
LIMONIA,Genus,FALSE,4,4_middle,SH,BU,SG,snag,uni,FALSE,6,SH,Shredder,bu,Burrower,0,FALSE,ARTHROPODA,INSECTA,,DIPTERA,TIPULIDAE,,LIMONIA,,Crane Flies,201
LIODESSUS,Genus,FALSE,4,4_middle,PR,SW,,,"multi,uni",TRUE,5.2,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,LIODESSUS,,Predaceous Diving Beetles,681
LIODESSUS AFFINIS,Species,FALSE,4,4_middle,PR,SW,,,"multi,uni",TRUE,5.2,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,LIODESSUS,AFFINIS,Predaceous Diving Beetles,88
LIODESSUS AFFINIS/OBSURELLUS,Species,FALSE,4,4_middle,PR,SW,,,"multi,uni",TRUE,5.2,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,LIODESSUS,AFFINIS/OBSURELLUS,Predaceous Diving Beetles,704
LIODESSUS FLAVICOLLIS,Species,FALSE,4,4_middle,PR,SW,,,"multi,uni",TRUE,5.2,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,LIODESSUS,FLAVICOLLIS,Predaceous Diving Beetles,937
LIOPOREUS TRIANGULARIS,Species,FALSE,,,PR,SW,,,NA,TRUE,5,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,LIOPOREUS,TRIANGULARIS,Predaceous Diving Beetles,1043
LISTRONOTUS,Genus,FALSE,,,SH,"BU,CN",,,NA,FALSE,,SH,Shredder,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,CURCULIONIDAE,,LISTRONOTUS,,"Snout Beetles, Weevils",689
LIXUS,Genus,FALSE,,,SH,"BU,CN",,,NA,FALSE,,SH,Shredder,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,CURCULIONIDAE,,LIXUS,,"Snout Beetles, Weevils",61
LUMBRICIDAE,Family,FALSE,4,4_middle,CG,BU,,,NA,FALSE,10,CG,Collector/Gatherer,UN,Unidentified,0,FALSE,ANNELIDA,CLITELLATA,OLIGOCHAETA,HAPLOTAXIDA,LUMBRICIDAE,,,,Aquatic Worms,32
LYMNAEIDAE,Family,FALSE,4,4_middle,SC,CB,,,multi,FALSE,6,SC,Scraper,UN,Unidentified,0,FALSE,MOLLUSCA,GASTROPODA,,BASOMMATOPHORA,LYMNAEIDAE,,,,Lymnaeid Snails,495
MACCAFFERTIUM,Genus,FALSE,4,4_middle,SC,CN,,,uni,FALSE,3.9,SC,Scraper,CN,Clinger,0,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,MACCAFFERTIUM,,Flatheaded Mayflies,871
MACCAFFERTIUM EXIGUUM,Species,FALSE,4,4_middle,SC,CN,,,uni,FALSE,5,SC,Scraper,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,MACCAFFERTIUM,EXIGUUM,Flatheaded Mayflies,274
MACCAFFERTIUM MEDIOPUNCTATUM,Species,FALSE,4,4_middle,SC,CN,,,uni,FALSE,3,SC,Scraper,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,MACCAFFERTIUM,MEDIOPUNCTATUM,Flatheaded Mayflies,276
MACCAFFERTIUM MERIRIVULANUM,Species,FALSE,4,4_middle,SC,CN,,,uni,FALSE,2,SC,Scraper,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,MACCAFFERTIUM,MERIRIVULANUM,Flatheaded Mayflies,678
MACCAFFERTIUM MEXICANUM,Species,FALSE,4,4_middle,SC,CN,,,uni,FALSE,4,SC,Scraper,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,MACCAFFERTIUM,MEXICANUM,Flatheaded Mayflies,277
MACCAFFERTIUM MODESTUM,Species,FALSE,4,4_middle,SC,CN,,,uni,FALSE,1,SC,Scraper,CN,Clinger,0,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,MACCAFFERTIUM,MODESTUM,Flatheaded Mayflies,1005
MACCAFFERTIUM PULCHELLUM,Species,FALSE,3,,SC,CN,,,uni,FALSE,3,SC,Scraper,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,MACCAFFERTIUM,PULCHELLUM,Flatheaded Mayflies,278
MACCAFFERTIUM PULCHELLUM/TERMINATUM,Species,FALSE,4,4_middle,SC,CN,,,uni,FALSE,3.5,SC,Scraper,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,MACCAFFERTIUM,PULCHELLUM/TERMINATUM,Flatheaded Mayflies,279
MACCAFFERTIUM TERMINATUM,Species,FALSE,4,4_worse,SC,CN,,,uni,FALSE,4,SC,Scraper,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,MACCAFFERTIUM,TERMINATUM,Flatheaded Mayflies,280
MACCAFFERTIUM VICARIUM,Species,FALSE,4,4_middle,SC,CN,,,uni,FALSE,2,SC,Scraper,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,MACCAFFERTIUM,VICARIUM,Flatheaded Mayflies,281
MACROMIA,Genus,FALSE,4,4_middle,PR,SP,,,semi,FALSE,2,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,ODONATA,CORDULIIDAE,,MACROMIA,,Greeneyed Skimmers,703
MACROMIA ILLINOIENSIS,Species,FALSE,4,4_middle,PR,SP,,,semi,FALSE,2,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,ODONATA,CORDULIIDAE,,MACROMIA,ILLINOIENSIS,Greeneyed Skimmers,371
MACROMIA TAENIOLATA,Species,FALSE,4,4_middle,PR,SP,,,semi,FALSE,2,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,ODONATA,CORDULIIDAE,,MACROMIA,TAENIOLATA,Greeneyed Skimmers,840
MACROMIIDAE,Family,FALSE,4,4_middle,PR,SP,,,NA,FALSE,3,PR,Predator,SP,Sprawler,0,FALSE,ARTHROPODA,INSECTA,,ODONATA,,,,,Dragonflies and damselflies,1022
MACRONYCHUS,Genus,FALSE,4,4_middle,CG,CN,,,"semi,uni",FALSE,4,CG,Collector/Gatherer,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,ELMIDAE,,MACRONYCHUS,,Riffle Beetles,103
MACRONYCHUS GLABRATUS,Species,FALSE,4,4_middle,CG,CN,SG,snag,"semi,uni",FALSE,4,CG,Collector/Gatherer,cn/cb,Clinger/Climber,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,ELMIDAE,,MACRONYCHUS,GLABRATUS,Riffle Beetles,104
MACROVELIA,Genus,FALSE,,,PR,"CB,SP",,,uni,FALSE,,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,HEMIPTERA,MACROVELIIDAE,,MACROVELIA,,Macroveliid Shore Bugs,654
MACROVELIIDAE,Family,FALSE,,,PR,CB,,,NA,FALSE,,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,HEMIPTERA,MACROVELIIDAE,,,,Macroveliid Shore Bugs,976
MALACOSTRACA,Class,FALSE,,,CG,NA,,,NA,FALSE,,CG,Collector/Gatherer,UN,Unidentified,0,FALSE,ARTHROPODA,MALACOSTRACA,,,,,,,Crustaceans,36
MATUS,Genus,FALSE,,,PR,SW,,,uni,TRUE,5.2,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,MATUS,,Predaceous Diving Beetles,887
MATUS BICARINATUS,Species,FALSE,,,PR,SW,,,uni,TRUE,5.2,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,MATUS,BICARINATUS,Predaceous Diving Beetles,885
MAYATRICHIA,Genus,FALSE,4,4_middle,SC,CN,,,uni,FALSE,6,SC,Scraper,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPTILIDAE,HYDROPTILINAE,MAYATRICHIA,,Micro Caddisflies,448
MAYATRICHIA AYAMA,Species,FALSE,4,4_middle,SC,CN,,,uni,FALSE,6,SC,Scraper,cn,Clinger,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPTILIDAE,HYDROPTILINAE,MAYATRICHIA,AYAMA,Micro Caddisflies,449
MENETUS,Genus,FALSE,4,4_middle,SC,CB,,,NA,FALSE,8.4,SC,Scraper,UN,Unidentified,0,FALSE,MOLLUSCA,GASTROPODA,,BASOMMATOPHORA,PLANORBIDAE,,MENETUS,,Planorbid Snails,1010
MERRAGATA HEBROIDES,Species,FALSE,,,PR,SK,,,multi,FALSE,7.3,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,HEMIPTERA,HEBRIDAE,,MERRAGATA,HEBROIDES,Velvet Water Bugs,919
MESOVELIA,Genus,FALSE,4,4_worse,PR,"SK,CB",RM,root_mat,multi,FALSE,6.4,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,HEMIPTERA,MESOVELIIDAE,,MESOVELIA,,Water Treaders,323
MESOVELIA MULSANTI,Species,FALSE,4,4_worse,PR,SK,,,multi,FALSE,6.4,PR,Predator,cn/sw,Clinger/Swimmer,0,FALSE,ARTHROPODA,INSECTA,,HEMIPTERA,MESOVELIIDAE,,MESOVELIA,MULSANTI,Water Treaders,324
MESOVELIIDAE,Family,FALSE,4,4_worse,PR,SK,,,NA,FALSE,6.4,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,HEMIPTERA,MESOVELIIDAE,,,,Water Treaders,322
METRIOCNEMUS EURYNOTUS,Species,FALSE,,,CG,"SP,BU",,,uni,FALSE,,UN,Unidentified,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,,METRIOCNEMUS,EURYNOTUS,"Non-Biting Midges, Midges",855
METROBATES,Genus,FALSE,4,4_middle,PR,SK,,,uni,FALSE,6.4,PR,Predator,sk,Skater,0,FALSE,ARTHROPODA,INSECTA,,HEMIPTERA,GERRIDAE,,METROBATES,,Water Striders,315
METROBATES HESPERIUS,Species,FALSE,4,4_middle,PR,SK,,,uni,FALSE,6.4,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,HEMIPTERA,GERRIDAE,,METROBATES,HESPERIUS,Water Striders,316
MICRASEMA,Genus,FALSE,,,SH,CN,,,semi,FALSE,1,SH,Shredder,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,BRACHYCENTRIDAE,,MICRASEMA,,Humpless Case Maker Caddisflies,573
MICRASEMA GELIDUM,Species,FALSE,,,SH,CN,,,semi,FALSE,1,SH,Shredder,UN,Unidentified,-1,TRUE,ARTHROPODA,INSECTA,,TRICHOPTERA,BRACHYCENTRIDAE,,MICRASEMA,GELIDUM,Humpless Case Maker Caddisflies,423
MICROVELIA,Genus,FALSE,4,4_middle,PR,SK,,,multi,FALSE,6.4,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,HEMIPTERA,VELIIDAE,,MICROVELIA,,Broad-Shouldered Water Striders,336
MICROVELIA AMERICANA,Species,FALSE,4,4_middle,PR,SK,,,multi,FALSE,6.4,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,HEMIPTERA,VELIIDAE,,MICROVELIA,AMERICANA,Broad-Shouldered Water Striders,337
MIRIDAE,Family,FALSE,,,NA,NA,,,NA,FALSE,,UN,Unidentified,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,HEMIPTERA,MIRIDAE,,,,"Jumping Tree Bugs, Leaf Bugs, Plant Bugs, Punaises",321
MOLLUSCA,Phylum,FALSE,,,NA,NA,,,NA,FALSE,,UN,Unidentified,UN,Unidentified,0,FALSE,MOLLUSCA,,,,,,,,Mollusks,490
MONOHELEA/BEZZIA/PALPOMYIA,Genus,FALSE,,,PR,NA,,,NA,FALSE,6,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CERATOPOGONIDAE,,MONOHELEA/BEZZIA/PALPOMYIA,,"Biting Midges, No-See-Ums, Punkies",816
MUSCIDAE,Family,FALSE,4,4_middle,PR,SP,,,NA,FALSE,6,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,DIPTERA,MUSCIDAE,,,,"Face Flies, Horn Flies, House Flies",179
MUSCULIUM,Genus,FALSE,4,4_middle,CF,BU,,,uni,FALSE,6,CF,Filterer,UN,Unidentified,0,FALSE,MOLLUSCA,BIVALVIA,HETERODONTA,VENEROIDA,PISIDIIDAE,,MUSCULIUM,,Pea Clams,832
NAIDIDAE,Family,FALSE,4,4_middle,CG,BU,,,multi,FALSE,7.6,CG,Collector/Gatherer,UN,Unidentified,0,FALSE,ANNELIDA,CLITELLATA,OLIGOCHAETA,HAPLOTAXIDA,NAIDIDAE,,,,Aquatic Worms,33
NASIAESCHNA PENTACANTHA,Species,FALSE,4,4_middle,PR,CB,,,semi,FALSE,8,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,NASIAESCHNA,PENTACANTHA,Darner Dragonflies,738
NECTOPSYCHE,Genus,FALSE,4,4_middle,SH,"CB,SP",,,uni,FALSE,3,SH,Shredder,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,NECTOPSYCHE,,Longhorned Case Maker Caddisflies,456
NECTOPSYCHE ALBIDA,Species,FALSE,4,4_middle,SH,"CB,SP",,,uni,FALSE,3,SH,Shredder,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,NECTOPSYCHE,ALBIDA,Longhorned Case Maker Caddisflies,1059
NECTOPSYCHE CANDIDA,Species,FALSE,4,4_middle,SH,"CB,SP",,,uni,FALSE,3,SH,Shredder,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,NECTOPSYCHE,CANDIDA,Longhorned Case Maker Caddisflies,457
NECTOPSYCHE DIARINA,Species,FALSE,4,4_worse,SH,"CB,SP",,,uni,FALSE,3,SH,Shredder,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,NECTOPSYCHE,DIARINA,Longhorned Case Maker Caddisflies,458
NECTOPSYCHE EXQUISITA,Species,FALSE,4,4_middle,SH,"CB,SP",,,uni,FALSE,3,SH,Shredder,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,NECTOPSYCHE,EXQUISITA,Longhorned Case Maker Caddisflies,1035
NECTOPSYCHE PAVIDA,Species,FALSE,4,4_middle,SH,"CB,SP",,,uni,FALSE,3,SH,Shredder,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,NECTOPSYCHE,PAVIDA,Longhorned Case Maker Caddisflies,578
NEMATODA,Phylum,FALSE,4,4_middle,PA,BU,,,NA,FALSE,5,PA,Parasite,UN,Unidentified,0,FALSE,NEMATODA,,,,,,,,Nematodes,514
NEMATOMORPHA,Phylum,FALSE,4,4_middle,PA,BU,,,NA,FALSE,,PA,Parasite,UN,Unidentified,0,FALSE,NEMATOMORPHA,,,,,,,,"Horsehair Worms, Hair Worms",515
NEMOTELUS,Genus,FALSE,4,4_worse,CG,SP,,,uni,TRUE,8,CG,Collector/Gatherer,sp/bu,Sprawler/Burrower,0,FALSE,ARTHROPODA,INSECTA,,DIPTERA,STRATIOMYIDAE,,NEMOTELUS,,Soldier Flies,188
NEMOURIDAE,Family,FALSE,3,,SH,"CN,SP",,,uni,FALSE,2,SH,Shredder,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,NEMOURIDAE,,,,Nemourid Stoneflies,400
NEOGERRIS,Genus,FALSE,4,4_middle,PR,SK,,,"multi,uni",FALSE,6.4,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,HEMIPTERA,GERRIDAE,,NEOGERRIS,,Water Striders,808
NEOPERLA,Genus,FALSE,4,4_better,PR,CN,,,uni,FALSE,3,PR,Predator,cn,Clinger,0,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,NEOPERLA,,Common Stoneflies,407
NEOPHYLAX,Genus,FALSE,3,,SC,CN,,,uni,FALSE,3,SC,Scraper,UN,Unidentified,-1,TRUE,ARTHROPODA,INSECTA,,TRICHOPTERA,UENOIDAE,,NEOPHYLAX,,Uenoid Case Maker Caddisflies,655
NEOPHYLAX CONCINNUS,Species,FALSE,3,,SC,CN,,,uni,FALSE,3,SC,Scraper,UN,Unidentified,-1,TRUE,ARTHROPODA,INSECTA,,TRICHOPTERA,UENOIDAE,,NEOPHYLAX,CONCINNUS,Uenoid Case Maker Caddisflies,856
NEOPLASTA,Genus,FALSE,4,4_middle,PR,SP,,,uni,FALSE,6,PR,Predator,SP/BU,Sprawler/Burrower,0,FALSE,ARTHROPODA,INSECTA,,DIPTERA,EMPIDIDAE,,NEOPLASTA,,Dance Flies,1084
NEOPLEA,Genus,FALSE,4,4_worse,PR,"SW,CN",RM,root_mat,"multi,uni",FALSE,5.5,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,HEMIPTERA,PLEIDAE,,NEOPLEA,,Pygmy Backswimmers,332
NEOPLEA STRIOLA,Species,FALSE,4,4_worse,PR,SW,,,"multi,uni",FALSE,5.5,PR,Predator,cb,Climber,0,FALSE,ARTHROPODA,INSECTA,,HEMIPTERA,PLEIDAE,,NEOPLEA,STRIOLA,Pygmy Backswimmers,333
NEOPORUS,Genus,FALSE,4,4_worse,PR,SW,,,multi,TRUE,5.2,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,NEOPORUS,,Predaceous Diving Beetles,89
NEOPORUS CLYPEALIS,Species,FALSE,4,4_worse,PR,SW,,,multi,TRUE,5.2,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,NEOPORUS,CLYPEALIS,Predaceous Diving Beetles,876
NEOPORUS DIMIDIATUS,Species,FALSE,4,4_worse,PR,SW,,,multi,TRUE,5.2,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,NEOPORUS,DIMIDIATUS,Predaceous Diving Beetles,702
NEOPORUS HYBRIDUS,Species,FALSE,4,4_worse,PR,SW,,,multi,TRUE,5.2,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,NEOPORUS,HYBRIDUS,Predaceous Diving Beetles,998
NEOPORUS STRIATOPUNCTATUS,Species,FALSE,4,4_worse,PR,SW,,,multi,TRUE,5.2,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,NEOPORUS,STRIATOPUNCTATUS,Predaceous Diving Beetles,822
NEOPORUS SUPERIORIS,Species,FALSE,4,4_worse,PR,SW,,,multi,TRUE,5.2,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,NEOPORUS,SUPERIORIS,Predaceous Diving Beetles,818
NEOPORUS TENNETUM,Species,FALSE,4,4_worse,PR,SW,,,multi,TRUE,5.2,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,NEOPORUS,TENNETUM,Predaceous Diving Beetles,739
NEOPORUS UNDULATUS,Species,FALSE,4,4_worse,PR,SW,,,multi,TRUE,5.2,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,NEOPORUS,UNDULATUS,Predaceous Diving Beetles,91
NEOPORUS VITTATUS,Species,FALSE,4,4_worse,PR,SW,,,multi,TRUE,5.2,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,NEOPORUS,VITTATUS,Predaceous Diving Beetles,92
NEPA,Genus,FALSE,4,4_worse,PR,CB,,,uni,FALSE,4.6,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,HEMIPTERA,NEPIDAE,,NEPA,,Water Scorpions,626
