Taxon_orig,OTU_BCG_v1,Modified_BCG_v1,Rationale_modifyBCG,OTU_FinerRezWorms,Taxon_group
Chironomini,Chironomini,no,,Chironomini,Chironomidae
Chironomus,Chironomus,no,,Chironomus,Chironomidae
Atherix sp.,Atherix,yes,sp.,Atherix,Diptera
Chloroperlidae,Chloroperlidae,no,,Chloroperlidae,Plecoptera
Choroterpes,Choroterpes,no,,Choroterpes,Ephemeroptera
Atractelmis,Atractelmis wawona,yes,monotypic,Atractelmis wawona,Coleoptera
Attenella sp.,Attenella,yes,sp.,Attenella,Ephemeroptera
Barbaetis,Baetidae,yes,"Not in the PNW, a SE US genus. Jeff Webb suspects it is Plauditus cestus.",Baetidae,Ephemeroptera
Baetis sp.,Baetis,yes,sp.,Baetis,Ephemeroptera
Baetis bicaudatus,Baetis bicaudatus complex,yes,naming scheme,Baetis bicaudatus complex,Ephemeroptera
Baetis flavistriga,Baetis flavistriga complex,yes,naming scheme,Baetis flavistriga complex,Ephemeroptera
Baetis tricaudatus,Baetis tricaudatus complex,yes,naming scheme,Baetis tricaudatus complex,Ephemeroptera
Chyrandra,Chyrandra,no,likely multiple spp.,Chyrandra,Trichoptera
Cinygma,Cinygma,no,,Cinygma,Ephemeroptera
Bibiocephala,Bibiocephala grandis,yes,monotypic,Bibiocephala grandis,Diptera
Cinygmula,Cinygmula,no,,Cinygmula,Ephemeroptera
Bibiocephala sp.,Bibiocephala grandis,yes,sp.,Bibiocephala grandis,Diptera
Bilyjomyia algens,Bilyjomyia,yes,monotypic,Bilyjomyia,Chironomidae
Claassenia sabulosa,Claassenia sabulosa,no,monotypic,Claassenia sabulosa,Plecoptera
Cladopelma,Cladopelma,no,,Cladopelma,Chironomidae
Blepharicera sp.,Blepharicera,yes,sp.,Blepharicera,Diptera
Cladotanytarsus,Cladotanytarsus,no,,Cladotanytarsus,Chironomidae
Philorus sp.,Blephariceridae,yes,sp.,Blephariceridae,Diptera
Boreochlus sp.,Boreochlus,yes,sp.,Boreochlus,Chironomidae
Boreoheptagyia sp.,Boreoheptagyia,yes,sp.,Boreoheptagyia,Chironomidae
Brachycentrus sp.,Brachycentrus,yes,sp.,Brachycentrus,Trichoptera
Brachycentrus americanus,Brachycentrus americanus complex,yes,naming scheme,Brachycentrus americanus complex,Trichoptera
Caudatella heterocaudata complex,Caudatella heterocaudata complex,no,,Caudatella heterocaudata complex,Ephemeroptera
Caudatella hystrix,Caudatella hystrix,no,,Caudatella hystrix,Ephemeroptera
Amphicosmoecus,Amphicosmoecus canax,yes,monotypic,Amphicosmoecus canax,Trichoptera
Gammaridae,Amphipoda,yes,backed off to Order,Amphipoda,Crustacea
