orig_FinalID_NE,OTU_BCG_NE,modified_BCG,Notes
BRACHYCENTRIDAE,BRACHYCENTRIDAE,FALSE,
BRACHYCENTRIDAE OCCIDENTALIS,BRACHYCENTRUS OCCIDENTALIS,TRUE,bad name combo (should be genus not family)
BRACHYCENTRUS,BRACHYCENTRUS,FALSE,
BRACHYCENTRUS NUMEROSUS,BRACHYCENTRUS NUMEROSUS,FALSE,
BRACHYCENTRUS OCCIDENTALIS,BRACHYCENTRUS OCCIDENTALIS,FALSE,
BRACHYCERCINAE,BRACHYCERCINAE,FALSE,
BRACHYCERCUS,BRACHYCERCUS,FALSE,
BRANCHIOBDELLIDA,BRANCHIOBDELLIDA,FALSE,
BRANCHIOBDELLIDAE,BRANCHIOBDELLIDA,TRUE,nomenclature change. Sean Sullivan
BRANCHIURA SOWERBYI,BRANCHIURA SOWERBYI,FALSE,
BRATISLAVIA,BRATISLAVIA,FALSE,
BRILLIA,BRILLIA,FALSE,
BRUNDINIELLA,BRUNDINIELLA,FALSE,
BRYCHIUS,BRYCHIUS,FALSE,
CAECIDOTEA,CAECIDOTEA,FALSE,
CAECIDOTEA INTERMEDIA,CAECIDOTEA,TRUE,genus level recommended by Sean Sullivan
CAENIDAE,CAENIDAE,FALSE,
CAENIS,CAENIS,FALSE,
CALLIBAETIS,CALLIBAETIS,FALSE,
CALLICORIXA,CALLICORIXA,FALSE,
CALOPARYPHUS,CALOPARYPHUS,FALSE,
CALOPTERYGIDAE,CALOPTERYGIDAE,FALSE,
CALOPTERYX,CALOPTERYX,FALSE,
CAMBARIDAE,CAMBARIDAE,FALSE,
CAMBARINCOLA,BRANCHIOBDELLIDA,TRUE,questionable ID
CAMBARUS,CAMBARUS,FALSE,
CAMELOBAETIDIUS,CAMELOBAETIDIUS,FALSE,
CAMPELOMA,CAMPELOMA,FALSE,
CARABIDAE,CARABIDAE,FALSE,NonTarget? Largely terrestrial
CARDIOCLADIUS,CARDIOCLADIUS,FALSE,
CARDIOCLADIUS OBSCURUS,CARDIOCLADIUS,TRUE,genus level recommended by Sean Sullivan
CELITHEMIS,CELITHEMIS,FALSE,
CELITHEMIS ELISA,CELITHEMIS,TRUE,genus level recommended by Sean Sullivan
CENTROPTILUM,ANAFROPTILUM,TRUE,nomenclature change. Sean Sullivan
CERACLEA,CERACLEA,FALSE,
CERATOPOGON,CERATOPOGONINAE,TRUE,subfamily level recommended by Sean Sullivan
CERATOPOGONIDAE,CERATOPOGONIDAE,FALSE,
CERATOPOGONINAE,CERATOPOGONINAE,FALSE,
CERATOPSYCHE,CERATOPSYCHE,FALSE,
CERATOPSYCHE BRONTA,CERATOPSYCHE BRONTA,FALSE,
CERATOPSYCHE MOROSA,CERATOPSYCHE MOROSA,FALSE,
CERATOPSYCHE MOROSA BIFIDA,CERATOPSYCHE MOROSA BIFIDA,FALSE,
CERATOPSYCHE SLOSSONAE,CERATOPSYCHE SLOSSONAE,FALSE,
CERATOPSYCHE SPARNA,CERATOPSYCHE SPARNA,FALSE,
CERCOBRACHYS,CERCOBRACHYS,FALSE,"left as is but in future, consider collapsing to Subfamily"
CERCYON,CERCYON,FALSE,
CHAETARTHRIA,CHAETARTHRIA,FALSE,
CHAETOCLADIUS,CHAETOCLADIUS,FALSE,
CHAETOGASTER,CHAETOGASTER,FALSE,
CHAETOGASTER DIAPHANUS,CHAETOGASTER,TRUE,genus level recommended by Sean Sullivan
CHAETOGASTER DIASTROPHUS,CHAETOGASTER,TRUE,genus level recommended by Sean Sullivan
CHAOBORUS,CHAOBORUS,FALSE,
CHAOBORUS PUNCTIPENNIS,CHAOBORUS,TRUE,genus level recommended by Sean Sullivan
CHAULIODES,CHAULIODES RASTRICORNIS,TRUE,One species in NE. Sean Sullivan
CHAULIODES RASTRICORNIS,CHAULIODES RASTRICORNIS,FALSE,
CHELIFERA,CHELIFERA,FALSE,
CHERNOVSKIIA,CHERNOVSKIIA,FALSE,
CHERNOVSKIIA AMPHITRITE,CHERNOVSKIIA,TRUE,genus level recommended by Sean Sullivan
CHERNOVSKIIA ORBICUS,CHERNOVSKIIA,TRUE,genus level recommended by Sean Sullivan
CHEUMATOPSYCHE,CHEUMATOPSYCHE,FALSE,
CHIMARRA,CHIMARRA,FALSE,
CHIONEINAE,LIMONIIDAE,TRUE,nomenclature change. Sean Sullivan
CHIRONOMIDAE,CHIRONOMIDAE,FALSE,
CHIRONOMINI,CHIRONOMINI,FALSE,
CHIRONOMUS,CHIRONOMUS,FALSE,
CHLOROPERLIDAE,CHLOROPERLIDAE,FALSE,
CHOROTERPES,CHOROTERPES,FALSE,
CHROMAGRION CONDITUM,CHROMAGRION CONDITUM,FALSE,
CHRYSOMELIDAE,CHRYSOMELIDAE,FALSE,NonTarget? Largely terrestrial
CHRYSOPS,CHRYSOPS,FALSE,
CLADOCERA,CLADOCERA,FALSE,Zooplankton. Include?
CLADOPELMA,CLADOPELMA,FALSE,
CLADOTANYTARSUS,CLADOTANYTARSUS,FALSE,
CLATHROSPERCHON,CLATHROSPERCHON,FALSE,
CLINOCERA,CLINOCERA,FALSE,
CLINOTANYPUS,CLINOTANYPUS,FALSE,
CLOEON,CLOEON,FALSE,
COELOTANYPUS,COELOTANYPUS,FALSE,
COENAGRION,COENAGRION,FALSE,
COENAGRIONIDAE,COENAGRIONIDAE,FALSE,
COLEOPTERA,COLEOPTERA,FALSE,
COLLEMBOLA,COLLEMBOLA,FALSE,NonTarget? Largely terrestrial
COLYMBETES,COLYMBETES,FALSE,
CONCHAPELOPIA,CONCHAPELOPIA,FALSE,
CONSTEMPELLINA,CONSTEMPELLINA,FALSE,
COPELATUS,COPELATUS,FALSE,
COPEPODA,COPEPODA,FALSE,NonTarget? Zooplankton
COPTOTOMUS,COPTOTOMUS,FALSE,
CORBICULA FLUMINEA,CORBICULA FLUMINEA,FALSE,
CORDULIA,CORDULIA,FALSE,
CORDULIIDAE,CORDULIIDAE,FALSE,
CORDYLOPHORA LACUSTRIS,HYDROZOA,TRUE,
CORISELLA,CORISELLA,FALSE,
CORIXIDAE,CORIXIDAE,FALSE,
CORYDALIDAE,CORYDALIDAE,FALSE,
CORYDALUS,CORYDALUS CORNUTUS,TRUE,One species in NE. Sean Sullivan
CORYDALUS CORNUTUS,CORYDALUS CORNUTUS,FALSE,
CORYNONEURA,CORYNONEURA,FALSE,
CRAMBIDAE,CRAMBIDAE,FALSE,
CRANGONYX,CRANGONYX,FALSE,
CRANGONYX GRACILIS,CRANGONYX,TRUE,genus level recommended by Sean Sullivan
CRICOTOPUS,CRICOTOPUS,FALSE,
CRICOTOPUS (CRICOTOPUS),CRICOTOPUS (CRICOTOPUS),FALSE,
CRICOTOPUS (ISOCLADIUS),CRICOTOPUS (ISOCLADIUS),FALSE,
CRICOTOPUS / ORTHOCLADIUS,CRICOTOPUS/ORTHOCLADIUS,TRUE,formatting (spaces)
CRICOTOPUS BICINCTUS,CRICOTOPUS BICINCTUS GROUP,TRUE,formatting (CAPS and group)
CRICOTOPUS BICINCTUS GROUP,CRICOTOPUS BICINCTUS GROUP,FALSE,
CRICOTOPUS CYLINDRACEUS,CRICOTOPUS CYLINDRACEUS,FALSE,
CRICOTOPUS FUSCUS,CRICOTOPUS FUSCUS,FALSE,
CRICOTOPUS INTERSECTUS,CRICOTOPUS INTERSECTUS,FALSE,
CRICOTOPUS LARICOMALIS,CRICOTOPUS LARICOMALIS,FALSE,
CRICOTOPUS SYLVESTRIS,CRICOTOPUS SYLVESTRIS GROUP,TRUE,formatting (CAPS and group)
CRICOTOPUS SYLVESTRIS GR.,CRICOTOPUS SYLVESTRIS GROUP,TRUE,formatting (CAPS and group)
CRICOTOPUS SYLVESTRIS GROUP,CRICOTOPUS SYLVESTRIS GROUP,FALSE,
CRICOTOPUS TIBIALIS,CRICOTOPUS TIBIALIS,FALSE,
CRICOTOPUS TREMULUS,CRICOTOPUS TREMULUS GROUP,TRUE,formatting (CAPS and group)
CRICOTOPUS TREMULUS GR.,CRICOTOPUS TREMULUS GROUP,TRUE,formatting (CAPS and group)
CRICOTOPUS TREMULUS GROUP,CRICOTOPUS TREMULUS GROUP,FALSE,
CRICOTOPUS TRIANNULATUS,CRICOTOPUS TRIANNULATUS,FALSE,
CRICOTOPUS TRICINCTUS,CRICOTOPUS TRICINCTUS,FALSE,
CRICOTOPUS TRIFASCIA,CRICOTOPUS TRIFASCIA GROUP,TRUE,syntax recommended by Sean Sullivan
CRICOTOPUS TRIFASCIATUS,CRICOTOPUS TRIFASCIA GROUP,TRUE,nomenclature change. Sean Sullivan
CRICOTOPUS TRIFASCIA GROUP,CRICOTOPUS TRIFASCIA GROUP,FALSE,
CRICOTOPUS VIERRIENSIS,CRICOTOPUS VIERRIENSIS,FALSE,
CRICOTOPUS/ORTHOCLADIUS,CRICOTOPUS/ORTHOCLADIUS,FALSE,
CRYPHOCRICOS,CRYPHOCRICOS,FALSE,
CRYPTOCHIRONOMUS,CRYPTOCHIRONOMUS,FALSE,
CRYPTOCHIRONOMUS FULVUS,CRYPTOCHIRONOMUS FULVUS,FALSE,
CRYPTOTENDIPES,CRYPTOTENDIPES,FALSE,
CULEX,CULEX,FALSE,
CULEX PIPIENS,CULEX,TRUE,genus level recommended by Sean Sullivan
CULEX QUINQUEFASCIATUS,CULEX,TRUE,genus level recommended by Sean Sullivan
CULEX RESTUANS,CULEX,TRUE,genus level recommended by Sean Sullivan
CULEX SALINARIUS,CULEX,TRUE,genus level recommended by Sean Sullivan
CULEX TARSALIS,CULEX,TRUE,genus level recommended by Sean Sullivan
CULICIDAE,CULICIDAE,FALSE,
CULICOIDES,CULICOIDES,FALSE,
CULOPTILA,CULOPTILA,FALSE,
CURA FOREMANII,CURA FOREMANII,FALSE,
CURCULIONIDAE,CURCULIONIDAE,FALSE,
CYBISTER,CYBISTER,FALSE,
CYMBIODYTA,CYMBIODYTA,FALSE,
CYMBIODYTA TODDI,CYMBIODYTA,TRUE,genus level recommended by Sean Sullivan
CYPHOMELLA,CYPHOMELLA,FALSE,
CYPHON,CYPHON,FALSE,
CYRNELLUS,CYRNELLUS,FALSE,
CYRNELLUS FRATERNUS,CYRNELLUS,TRUE,genus level recommended by Sean Sullivan
DACTYLOBAETIS,CAMELOBAETIDIUS,TRUE,nomenclature change
DANNELLA,DANNELLA,FALSE,
DASHYELEINAE,DASYHELEA,TRUE,genus level recommended by Sean Sullivan
DASYHELEA,DASYHELEA,FALSE,
DASYHELEINAE,DASYHELEA,TRUE,genus level recommended by Sean Sullivan
DECAPODA,DECAPODA,FALSE,
DEMICRYPTOCHIRONOMUS,DEMICRYPTOCHIRONOMUS,FALSE,
DERO,DERO,FALSE,genus level recommended by Sean Sullivan
DERO DIGITATA,DERO,TRUE,genus level recommended by Sean Sullivan
DERO DORSALIS,DERO,TRUE,genus level recommended by Sean Sullivan
DERO FURCATA,DERO,TRUE,genus level recommended by Sean Sullivan
DERO LODENI,DERO,TRUE,genus level recommended by Sean Sullivan
DERO NIVEA,DERO,TRUE,genus level recommended by Sean Sullivan
DERO VAGA,DERO,TRUE,genus level recommended by Sean Sullivan
DERONECTES,DERONECTES,FALSE,check Stictotarsus. Sean Sullivan
DESMOPACHRIA,DESMOPACHRIA,FALSE,
DESSEROBDELLA PICTA,PLACOBDELLA PICTA,TRUE,nomenclature change. Sean Sullivan
DIAMESA,DIAMESA,FALSE,
DIBOLOCELUS,HYDROPHILUS,TRUE,nomenclature change and questionable ID
DICRANOMYIA,DICRANOMYIA,FALSE,"left as is but in future, consider changes to Tipulidae taxonomy"
DICRANOTA,DICRANOTA,FALSE,
DICROTENDIPES,DICROTENDIPES,FALSE,
DICROTENDIPES NEOMODESTUS,DICROTENDIPES NEOMODESTUS,FALSE,
DICTYA,DICTYA,FALSE,
DIDYMOPS,DIDYMOPS,FALSE,
DIDYMOPS TRANSVERSA,DIDYMOPS TRANSVERSA,FALSE,
DINA,ERPOBDELLA,TRUE,nomenclature change. Sean Sullivan
DINEUTUS,DINEUTUS,FALSE,
DIPLECTRONA,DIPLECTRONA,FALSE,
DIPLOCLADIUS,DIPLOCLADIUS CULTRIGER,TRUE,One species in NE. Sean Sullivan
DIPLOCLADIUS CULTRIGER,DIPLOCLADIUS CULTRIGER,FALSE,
DIPTERA,DIPTERA,FALSE,
DISONYCHA,DISONYCHA,FALSE,NonTarget? Largely terrestrial
DIXA,DIXA,FALSE,
DIXELLA,DIXELLA,FALSE,
DIXIDAE,DIXIDAE,FALSE,
DOLICHOPODIDAE,DOLICHOPODIDAE,FALSE,
DROMOGOMPHUS,DROMOGOMPHUS,FALSE,
DRYOPIDAE,DRYOPIDAE,FALSE,
DUBIRAPHIA,DUBIRAPHIA,FALSE,
DUBIRAPHIA VITTATA,DUBIRAPHIA,TRUE,genus level recommended by Sean Sullivan
DUGESIA,TREPAXONEMATA,TRUE,nomenclature change. Sean Sullivan
DUGESIA TIGRINA,TREPAXONEMATA,TRUE,nomenclature change. Sean Sullivan
DYTISCIDAE,DYTISCIDAE,FALSE,
DYTISCUS,DYTISCUS,FALSE,
ECCOPTURA,ECCOPTURA,FALSE,
ECDYONURINAE,HEPTAGENIIDAE,TRUE,nomenclature change. Sean Sullivan
EINFELDIA,EINFELDIA,FALSE,"left as is but in future, consider collapsing to Family"
ELLIPTIO DILATATA,ELLIPTIO DILATATA,FALSE,
ELMIDAE,ELMIDAE,FALSE,
ELODES,ELODES,FALSE,
EMPIDIDAE,EMPIDIDAE,FALSE,
ENALLAGMA,ENALLAGMA,FALSE,
ENALLAGMA PRAEVARUM,ENALLAGMA,TRUE,genus level recommended by Sean Sullivan
ENCHYTRAEIDAE,ENCHYTRAEIDAE,FALSE,
ENCHYTRAEUS,ENCHYTRAEUS,FALSE,
ENDOCHIRONOMUS,ENDOCHIRONOMUS,FALSE,
ENOCHRUS,ENOCHRUS,FALSE,
EPEORUS,EPEORUS,FALSE,
EPHEMERA,EPHEMERA,FALSE,
EPHEMERELLA,EPHEMERELLA,FALSE,
EPHEMERELLA EXCRUCIANS,EPHEMERELLA EXCRUCIANS GROUP,TRUE,formatting (CAPS and group)
EPHEMERELLA EXCRUCIANS GR.,EPHEMERELLA EXCRUCIANS GROUP,TRUE,formatting (CAPS and group)
EPHEMERELLA EXCRUCIANS GROUP,EPHEMERELLA EXCRUCIANS GROUP,FALSE,
EPHEMEROPTERA,EPHEMEROPTERA,FALSE,
EPHORON,EPHORON,FALSE,
EPHORON ALBUM,EPHORON ALBUM,FALSE,
EPHORON LEUKON,EPHORON LEUKON,FALSE,
EPHYDRA,EPHYDRA,FALSE,
EPHYDRIDAE,EPHYDRIDAE,FALSE,
EPITHECA,EPITHECA,FALSE,
EPITHECA PRINCEPS,EPITHECA PRINCEPS,FALSE,
EPOICOCLADIUS,EPOICOCLADIUS,FALSE,
ERIOPTERA,ERIOPTERA,FALSE,
ERISTALIS,ERISTALIS,FALSE,
ERPETOGOMPHUS,ERPETOGOMPHUS,FALSE,
ERPOBDELLA,ERPOBDELLA,FALSE,
ERPOBDELLA FERVIDA,ERPOBDELLA FERVIDA,FALSE,
ERPOBDELLA MICROSTOMA,ERPOBDELLA MICROSTOMA,FALSE,
ERPOBDELLA PUNCTATA,ERPOBDELLA PUNCTATA,FALSE,
ERPOBDELLIDAE,ERPOBDELLIDAE,FALSE,
ERYTHEMIS,ERYTHEMIS,FALSE,
EUKIEFFERIELLA,EUKIEFFERIELLA,FALSE,
EUKIEFFERIELLA CLARIPENNIS,EUKIEFFERIELLA,TRUE,genus level recommended by Sean Sullivan
EUPARYPHUS,EUPARYPHUS,FALSE,
FALLCEON,FALLCEON,FALSE,
FALLCEON QUILLERI,FALLCEON,TRUE,genus level recommended by Sean Sullivan
FAXONIUS,FAXONIUS,FALSE,
FAXONIUS IMMUNIS,FAXONIUS IMMUNIS,FALSE,
FAXONIUS VIRILIS,FAXONIUS VIRILIS,FALSE,
FERRISSIA,FERRISSIA,FALSE,
FERRISSIA RIVULARIS,FERRISSIA,TRUE,genus level recommended by Sean Sullivan
FORCIPOMYIA,FORCIPOMYIINAE,TRUE,subfamily recommended by Sean Sullivan
FORCIPOMYIINAE,FORCIPOMYIINAE,FALSE,
FOSSARIA,GALBA,TRUE,nomenclature change. Sean Sullivan
FOSSARIA BULIMOIDES,GALBA,TRUE,nomenclature change. Sean Sullivan
FOSSARIA HUMILIS,GALBA,TRUE,nomenclature change. Sean Sullivan
FOSSARIA OBRUSSA,GALBA,TRUE,nomenclature change. Sean Sullivan
FREDERICELLA SULTANA,GALBA,TRUE,nomenclature change. Sean Sullivan
FRIDERICIA,FRIDERICIA,FALSE,
FUSCONAIA FLAVA,FUSCONAIA FLAVA,FALSE,
GALBA,GALBA,FALSE,
GALERUCELLA,GALERUCELLA,FALSE,
GAMMARIDAE,GAMMARIDAE,FALSE,
GAMMARUS,GAMMARUS,FALSE,
GAMMARUS LACUSTRIS,GAMMARUS,TRUE,genus level recommended by Sean Sullivan
GASTROPODA,GASTROPODA,FALSE,
GELASTOCORIDAE,GELASTOCORIDAE,FALSE,NonTarget? Heteroptera
GERRIDAE,GERRIDAE,FALSE,
GERRIS,GERRIS,FALSE,
GILLOTIA,GILLOTIA,FALSE,
GLOSSIPHONIA,GLOSSIPHONIA,FALSE,
GLOSSIPHONIA COMPLANATA,GLOSSIPHONIA ELEGANS,TRUE,nomenclature change. Sean Sullivan
GLOSSIPHONIA ELEGANS,GLOSSIPHONIA ELEGANS,FALSE,
GLOSSIPHONIIDAE,GLOSSIPHONIIDAE,FALSE,
GLOSSOSOMA,GLOSSOSOMA,FALSE,
GLYPTOTENDIPES,GLYPTOTENDIPES,FALSE,
GOELDICHIRONOMUS,GOELDICHIRONOMUS,FALSE,
GOMPHIDAE,GOMPHIDAE,FALSE,
GOMPHURUS,GOMPHIDAE,TRUE,nomenclature change. Sean Sullivan
GOMPHUS,GOMPHIDAE,TRUE,nomenclature change. Sean Sullivan
GONOMYIA,GONOMYIA,FALSE,
GORDIIDAE,GORDIIDAE,FALSE,
GORDIUS,GORDIUS,FALSE,
GRAPHODERUS,GRAPHODERUS,FALSE,
GYMNOCHTHEBIUS,GYMNOCHTHEBIUS,FALSE,
GYRAULUS,GYRAULUS,FALSE,
GYRAULUS PARVUS,GYRAULUS PARVUS,FALSE,
GYRINIDAE,GYRINIDAE,FALSE,
GYRINUS,GYRINUS,FALSE,
HAEMONAIS WALDVOGELI,HAEMONAIS WALDVOGELI,FALSE,
HAEMOPIS,HAEMOPIS,FALSE,
HALIPLIDAE,HALIPLIDAE,FALSE,
HALIPLUS,HALIPLUS,FALSE,
HALOCLADIUS,HALOCLADIUS,FALSE,
HARNISCHIA,HARNISCHIA,FALSE,
HELENIELLA,HELENIELLA,FALSE,
HELICHUS,HELICHUS,FALSE,
HELICOPSYCHE,HELICOPSYCHE,FALSE,
HELICOPSYCHE BOREALIS,HELICOPSYCHE,TRUE,genus level recommended by Sean Sullivan
HELISOMA,HELISOMA,FALSE,
HELISOMA ANCEPS,HELISOMA ANCEPS,FALSE,
HELISOMA TRIVOLVIS,HELISOMA TRIVOLVIS,FALSE,"left as is but in future, consider changing to PLANORBELLA"
HELIUS,HELIUS,FALSE,
HELOBATA,HELOBATA,FALSE,
HELOBDELLA,HELOBDELLA,FALSE,
HELOBDELLA ELONGATA,HELOBDELLA ELONGATA,FALSE,
HELOBDELLA FUSCA,HELOBDELLA FUSCA,FALSE,
HELOBDELLA PAPILLATA,HELOBDELLA PAPILLATA,FALSE,
HELOBDELLA STAGNALIS,HELOBDELLA STAGNALIS,FALSE,
HELOBDELLA TRISERIALIS,HELOBDELLA TRISERIALIS,FALSE,
HELOCHARES,HELOCHARES,FALSE,
HELOPHORUS,HELOPHORUS,FALSE,
HEMERODROMIA,HEMERODROMIA,FALSE,
HEMIPTERA,HEMIPTERA,FALSE,
HENLEA,HENLEA,FALSE,
HEPTAGENIA,HEPTAGENIA,FALSE,
HEPTAGENIA DIABASIA,HEPTAGENIA DIABASIA,FALSE,
HEPTAGENIA FLAVESCENS,HEPTAGENIA FLAVESCENS,FALSE,
HEPTAGENIA MARGINALIS,HEPTAGENIA MARGINALIS,FALSE,
HEPTAGENIIDAE,HEPTAGENIIDAE,FALSE,
HESPEROCORIXA,HESPEROCORIXA,FALSE,
HESPEROPHYLAX,HESPEROPHYLAX,FALSE,
HETAERINA,HETAERINA,FALSE,
HETAERINA AMERICANA,HETAERINA AMERICANA,FALSE,
HETERELMIS,HETERELMIS,FALSE,
HETEROCLOEON,HETEROCLOEON,FALSE,
HETEROPTERA,HETEROPTERA,FALSE,NonTarget? Heteroptera
HETEROSTERNUTA,HETEROSTERNUTA,FALSE,
HETEROTRISSOCLADIUS,HETEROTRISSOCLADIUS,FALSE,
HEXAGENIA,HEXAGENIA,FALSE,
HEXAGENIA ATROCAUDATA,HEXAGENIA ATROCAUDATA,FALSE,
HEXAGENIA LIMBATA,HEXAGENIA LIMBATA,FALSE,
HEXATOMA,HEXATOMA,FALSE,
HIRUDINEA,HIRUDINEA,FALSE,
HIRUDINIDAE,HIRUDINIDAE,FALSE,
HOMOEONEURIA,HOMOEONEURIA,FALSE,
HOMOEONEURIA AMMOPHILA,HOMOEONEURIA AMMOPHILA,FALSE,
HOMOPHYLAX,HOMOPHYLAX,FALSE,
HYALELLA,HYALELLA,FALSE,
HYALELLA AZTECA,HYALELLA,TRUE,genus level recommended by Sean Sullivan
HYDATICUS,HYDATICUS,FALSE,
